pdf_url,area
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/01_antropologia_2023_24_indiv.pdf,antropologia social y cultural
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/02_artes_2023_24_indiv.pdf,artes
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/03_diseno_2023_24_indiv.pdf,diseno
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/04_estudios_culturales_2023_24_indiv.pdf,estudios culturales
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/05_estudios_de_asia_y_africa_2023_24_indiv.pdf,estudios de asia y africa
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/06_estudios_semiticos_e_islamicos_2023_24_indiv.pdf,estudios semiticos e islamicos
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/07_filosofia_2023_24_indiv.pdf,filosofia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/08_geografia_e_historia_2023_24_indiv.pdf,geografia e historia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/09_humanidades_2023_24_indiv.pdf,humanidades
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/10_lengua_y_literatura_espanola_2023_24_indiv.pdf,lengua y literatura espanola
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/11_lengua_y_literaturas_clasicas_2023_24_indiv.pdf,lenguas y literaturas clasicas
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/12_lenguas_y_literaturas_modernas_2023_24_indiv.pdf,lenguas modernas
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/13_paisajismo_2023_24_indiv.pdf,paisajismo
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/14_traduccion_2023_24_indiv.pdf,traduccion
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/15_antropologia_social_y_cultural_2023_24_indiv.pdf,antropologia social y cultural
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/16_ciencias_de_la_actividad_fisica_2023_24_indiv.pdf,ciencias de la actividad fisica y del deporte
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/17_ciencias_del_trabajo_2023_2024_indiv.pdf,"recursos humanos de las em - presas y en el ambito de representantes de empresas, trabajadores y particulares ante organismos de conciliacion, tribunales de lo social y en aquellos campos relacionados con las politicas de funcionamiento del mercado laboral, busqueda de yacimientos de empleo y auditorias laborales asi como trabajar en el sector docente y de la investigacion.area de ciencias del trabajo"
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/18_ciencias_politica_y_sociologia_2023_24_indiv.pdf,ciencias politicas y sociologia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/19_comercio_y_marketing_2023_24_indiv.pdf,comercio y marketing
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/20_derecho_2023_24_indiv.pdf,derecho
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/21_economia_2023_24_indiv.pdf,economia
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/22_educacion_2023_24_indiv.pdf,educacion
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/23_ciencias_comportamiento_2023_2024_indiv.pdf,(no encontrado)
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/24_empresas_2023_24_indiv.pdf,empresas
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/25_estadistica_2023_24_indiv.pdf,estadistica
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/26_geo_urb_ord_territorio_2023_24_indiv.pdf,"geografia, urbanismo y ordenacion del territorio"
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/27_gestion_aeronautica_2023_24_indiv.pdf,gestion aeronautica
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/28_infomacion_documentacion_2023_24_indiv.pdf,informacion y documentacion
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/29_lengua_de_signos_2023_24_indiv.pdf,lengua de signos
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/30_periodismo_publi_comvis_2023_24_indiv.pdf,"periodismo, publicidad y comunicacion audiovisual"
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/31_area_entorno_digital_2023_24_indiv.pdf,entorno digital
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/32_trabajo_social_2023_24_indiv.pdf,trabajo social
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/33_turismo_2023_24_indiv.pdf,turismo
https://www.comunidad.madrid/sites/default/files/doc/educacion/univ/34_biologia_2023_24_indiv.pdf,biologia
