universidad,grado,grupo,nota,año,convocatoria
Universidad Complutense De Madrid,Arqueologia,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Arqueologia,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Arqueologia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Arqueologia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Arqueologia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 1,9.936,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 2,9.29,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Conservacion y Restauracion del Patrimonio Cultural,Grupo 1,9.600,2025,ordinaria
Universidad Complutense De Madrid,Conservacion y Restauracion del Patrimonio Cultural,Grupo 2,8.94,2025,ordinaria
Universidad Complutense De Madrid,Conservacion y Restauracion del Patrimonio Cultural,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Conservacion y Restauracion del Patrimonio Cultural,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Conservacion y Restauracion del Patrimonio Cultural,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Diseno,Grupo 1,11.650,2025,ordinaria
Universidad Complutense De Madrid,Diseno,Grupo 2,8.30,2025,ordinaria
Universidad Complutense De Madrid,Diseno,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Diseno,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Diseno,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Espanol: Lengua y Literatura,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Espanol: Lengua y Literatura,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Espanol: Lengua y Literatura,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Espanol: Lengua y Literatura,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Espanol: Lengua y Literatura,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semiticos E Islamicos,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semiticos E Islamicos,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semiticos E Islamicos,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semiticos E Islamicos,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semiticos E Islamicos,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Teatrales,Grupo 1,5.378,2025,ordinaria
Universidad Complutense De Madrid,Estudios Teatrales,Grupo 2,7.50,2025,ordinaria
Universidad Complutense De Madrid,Estudios Teatrales,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Teatrales,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Teatrales,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Filologia Clasica,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Filologia Clasica,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Filologia Clasica,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Filologia Clasica,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Filologia Clasica,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Filosofia,Grupo 1,5.940,2025,ordinaria
Universidad Complutense De Madrid,Filosofia,Grupo 2,8.79,2025,ordinaria
Universidad Complutense De Madrid,Filosofia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Filosofia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Filosofia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,"Filosofia, Politica y Economia",Grupo 1,8.384,2025,ordinaria
Universidad Complutense De Madrid,"Filosofia, Politica y Economia",Grupo 2,8,2025,ordinaria
Universidad Complutense De Madrid,"Filosofia, Politica y Economia",Grupo 3,7.030,2025,ordinaria
Universidad Complutense De Madrid,"Filosofia, Politica y Economia",Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,"Filosofia, Politica y Economia",Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Historia,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Historia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Historia del Arte,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y Sus Literaturas,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y Sus Literaturas,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y Sus Literaturas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y Sus Literaturas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Lenguas Modernas y Sus Literaturas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Linguistica y Lenguas Aplicadas,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Linguistica y Lenguas Aplicadas,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Linguistica y Lenguas Aplicadas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Linguistica y Lenguas Aplicadas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Linguistica y Lenguas Aplicadas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Literatura General y Comparada,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Musicologia,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Musicologia,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Musicologia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Musicologia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Musicologia,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Traduccion E Interpretacion,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Traduccion E Interpretacion,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Traduccion E Interpretacion,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Traduccion E Interpretacion,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Traduccion E Interpretacion,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 1,9.564,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 2,6.99,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 1,10.714,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 4,6.88,2025,ordinaria
Universidad Complutense De Madrid,Administracion y Direccion de Empresas,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Antropologia Social y Cultural,Grupo 1,5.000,2025,ordinaria
