id;id_grado;id_facultad
1;1;1
2;2;1
3;3;1
4;4;1
5;34;1
6;1;17
7;2;17
8;3;17
9;4;17
10;32;17
11;38;17
12;39;17
13;40;17
14;110;17
15;1;34
16;2;34
17;3;34
18;4;34
19;5;2
20;19;2
21;29;2
22;5;3
23;6;3
24;18;3
25;5;4
26;41;4
27;117;4
28;118;4
29;123;4
30;119;4
31;131;4
32;5;5
33;20;5
34;7;6
35;74;6
36;117;6
37;118;6
38;123;6
39;120;6
40;127;6
41;134;6
42;10;7
43;34;7
44;38;7
45;15;8
46;40;8
47;18;11
48;19;11
49;29;11
50;26;11
51;19;12
52;29;12
53;26;14
54;28;15
55;169;15
56;28;13
57;142;13
58;143;13
59;170;13
60;16;13
61;30;13
62;175;13
63;185;13
64;186;13
65;195;13
66;202;13
67;208;13
68;215;13
69;220;13
70;31;16
71;41;16
72;42;16
73;117;16
74;118;16
75;123;16
76;33;18
77;43;18
78;46;18
79;48;18
80;49;18
81;50;18
82;51;18
83;52;18
84;55;18
85;34;19
86;36;19
87;45;19
88;47;19
89;49;19
90;51;19
91;55;19
92;34;20
93;35;20
94;34;21
95;55;21
96;166;21
97;36;22
98;38;22
99;39;22
100;37;23
101;39;23
102;40;23
103;110;23
104;38;24
105;41;24
106;44;24
107;49;24
108;38;10
109;39;10
110;117;10
111;120;10
112;126;10
113;38;25
114;40;26
115;56;26
116;57;26
117;60;26
118;61;26
119;65;26
120;72;26
121;74;26
122;76;26
123;78;26
124;80;26
125;92;26
126;97;26
127;105;26
128;114;26
129;117;26
130;142;26
131;143;26
132;151;26
133;156;26
134;158;26
135;166;26
136;185;26
137;42;27
138;135;27
139;138;27
140;139;27
141;142;27
142;143;27
143;151;27
144;154;27
145;162;27
146;184;27
147;46;28
148;46;29
149;49;29
150;53;30
151;54;31
152;117;31
153;55;32
154;76;32
155;91;32
156;92;32
157;105;32
158;118;32
159;123;32
160;55;33
161;56;35
162;57;35
163;60;35
164;61;35
165;56;36
166;57;36
167;60;36
168;61;36
169;58;36
170;59;36
171;56;37
172;57;37
173;60;37
174;61;37
175;56;38
176;57;38
177;60;38
178;61;38
179;76;38
180;80;38
181;91;38
182;92;38
183;132;38
184;56;39
185;57;39
186;60;39
187;61;39
188;56;126
189;57;126
190;60;126
191;61;126
192;156;126
193;161;126
194;56;127
195;57;127
196;60;127
197;61;127
198;156;127
199;158;127
200;160;127
201;162;127
202;163;127
203;166;127
204;56;128
205;57;128
206;60;128
207;61;128
208;156;128
209;157;128
210;158;128
211;160;128
212;161;128
213;162;128
214;163;128
215;56;129
216;57;129
217;60;129
218;61;129
219;62;40
220;91;40
221;92;40
222;97;40
223;63;41
224;75;41
225;78;41
226;79;41
227;63;42
228;66;42
229;76;42
230;64;43
231;74;43
232;78;43
233;91;43
234;92;43
235;97;43
236;117;43
237;118;43
238;123;43
239;120;43
240;65;44
241;72;44
242;108;44
243;65;45
244;68;45
245;72;45
246;66;46
247;78;46
248;67;47
249;72;47
250;69;48
251;73;53
252;74;54
253;81;54
254;74;49
255;78;49
256;74;55
257;78;55
258;97;55
259;101;55
260;105;55
261;130;55
262;74;56
263;74;57
264;97;57
265;76;52
266;77;52
267;78;52
268;132;52
269;76;58
270;77;51
271;117;51
272;121;51
273;134;51
274;77;59
275;78;60
276;78;61
277;78;62
278;78;63
279;78;64
280;81;65
281;86;65
282;97;65
283;81;66
284;82;66
285;97;66
286;105;66
287;133;66
288;81;67
289;86;67
290;81;68
291;85;68
292;97;68
293;81;69
294;86;69
295;87;69
296;98;69
297;81;70
298;91;70
299;92;70
300;91;72
301;93;72
302;91;73
303;91;74
304;92;74
305;93;74
306;166;74
307;91;75
308;92;76
309;92;77
310;92;78
311;94;79
312;94;80
313;97;81
314;106;81
315;97;82
316;99;71
317;99;83
318;100;84
319;188;84
320;107;87
321;109;87
322;115;88
323;116;89
324;117;90
325;118;90
326;123;90
327;120;90
328;117;91
329;117;92
330;118;92
331;123;92
332;120;92
333;126;92
334;118;93
335;123;93
336;120;93
337;119;94
338;132;96
339;132;97
340;133;98
341;133;99
342;133;100
343;133;101
344;133;102
345;134;103
346;135;104
347;141;104
348;144;104
349;145;104
350;154;104
351;155;104
352;135;105
353;135;106
354;138;106
355;140;106
356;192;106
357;193;106
358;196;106
359;197;106
360;135;107
361;157;107
362;135;108
363;156;108
364;157;108
365;158;108
366;159;108
367;160;108
368;161;108
369;162;108
370;166;108
371;168;108
372;135;109
373;157;109
374;160;109
375;161;109
376;185;109
377;135;110
378;155;110
379;157;110
380;135;111
381;169;111
382;185;111
383;186;111
384;193;111
385;194;111
386;195;111
387;201;111
388;215;111
389;136;112
390;137;112
391;139;112
392;183;112
393;184;112
394;190;112
395;138;113
396;139;114
397;139;115
398;141;116
399;178;116
400;179;116
401;180;116
402;185;116
403;142;117
