id;id_grado_ofertado;año;convocatoria;grupo;nota
2;417;2025;ordinaria;Grupo 1;13.225
3;473;2025;ordinaria;Grupo 1;13.089
4;476;2025;ordinaria;Grupo 1;12.604
5;186;2025;ordinaria;Grupo 1;12.267
6;307;2025;ordinaria;Grupo 1;12.014
7;293;2025;ordinaria;Grupo 1;11.287
8;392;2025;ordinaria;Grupo 1;11.103
9;573;2025;ordinaria;Grupo 1;11.102
10;504;2025;ordinaria;Grupo 1;10.967
11;394;2025;ordinaria;Grupo 1;10.825
12;150;2025;ordinaria;Grupo 1;10.625
13;359;2025;ordinaria;Grupo 1;10.478
14;17;2025;ordinaria;Grupo 1;9.936
15;309;2025;ordinaria;Grupo 1;9.903
17;18;2025;ordinaria;Grupo 1;9.6
18;224;2025;ordinaria;Grupo 1;9.545
19;17;2025;ordinaria;Grupo 2;9.29
20;185;2025;ordinaria;Grupo 1;9.025
21;18;2025;ordinaria;Grupo 2;8.94
22;150;2025;ordinaria;Grupo 2;8.55
24;245;2025;ordinaria;Grupo 1;8.439
25;307;2025;ordinaria;Grupo 2;8.22
26;185;2025;ordinaria;Grupo 2;8.02
27;186;2025;ordinaria;Grupo 2;7.72
28;473;2025;ordinaria;Grupo 2;7.45
29;417;2025;ordinaria;Grupo 2;7.38
30;245;2025;ordinaria;Grupo 2;7.16
31;573;2025;ordinaria;Grupo 2;7.11
33;43;2025;ordinaria;Grupo 1;6.689
34;224;2025;ordinaria;Grupo 2;6.65
35;394;2025;ordinaria;Grupo 2;5.0
36;392;2025;ordinaria;Grupo 2;5.0
37;476;2025;ordinaria;Grupo 2;5.0
38;359;2025;ordinaria;Grupo 2;5.0
39;32;2025;ordinaria;Grupo 2;5.0
40;32;2025;ordinaria;Grupo 1;5.0
41;43;2025;ordinaria;Grupo 2;5.0
42;293;2025;ordinaria;Grupo 2;5.0
43;224;2025;ordinaria;Grupo 3;5.0
45;245;2025;ordinaria;Grupo 3;5.0
46;245;2025;ordinaria;Grupo 4;5.0
47;245;2025;ordinaria;Grupo 5;5.0
48;224;2025;ordinaria;Grupo 4;5.0
49;224;2025;ordinaria;Grupo 5;5.0
50;16;2025;ordinaria;Grupo 5;5.0
51;16;2025;ordinaria;Grupo 1;5.0
52;15;2025;ordinaria;Grupo 2;5.0
53;16;2025;ordinaria;Grupo 2;5.0
54;15;2025;ordinaria;Grupo 3;5.0
55;16;2025;ordinaria;Grupo 3;5.0
56;15;2025;ordinaria;Grupo 4;5.0
57;16;2025;ordinaria;Grupo 4;5.0
58;15;2025;ordinaria;Grupo 5;5.0
59;321;2025;ordinaria;Grupo 1;5.0
60;321;2025;ordinaria;Grupo 2;5.0
61;321;2025;ordinaria;Grupo 3;5.0
62;321;2025;ordinaria;Grupo 4;5.0
63;321;2025;ordinaria;Grupo 5;5.0
64;15;2025;ordinaria;Grupo 1;5.0
65;99;2025;ordinaria;Grupo 4;5.0
66;99;2025;ordinaria;Grupo 5;5.0
67;99;2025;ordinaria;Grupo 3;5.0
68;17;2025;ordinaria;Grupo 3;5.0
69;17;2025;ordinaria;Grupo 4;5.0
70;17;2025;ordinaria;Grupo 5;5.0
71;99;2025;ordinaria;Grupo 2;5.0
72;18;2025;ordinaria;Grupo 3;5.0
73;18;2025;ordinaria;Grupo 4;5.0
74;18;2025;ordinaria;Grupo 5;5.0
75;99;2025;ordinaria;Grupo 1;5.0
76;97;2025;ordinaria;Grupo 4;5.0
77;97;2025;ordinaria;Grupo 1;5.0
78;97;2025;ordinaria;Grupo 2;5.0
79;97;2025;ordinaria;Grupo 3;5.0
80;97;2025;ordinaria;Grupo 5;5.0
81;82;2025;ordinaria;Grupo 1;5.0
82;82;2025;ordinaria;Grupo 2;5.0
83;82;2025;ordinaria;Grupo 3;5.0
84;82;2025;ordinaria;Grupo 4;5.0
85;82;2025;ordinaria;Grupo 5;5.0
86;92;2025;ordinaria;Grupo 1;5.0
87;92;2025;ordinaria;Grupo 2;5.0
88;92;2025;ordinaria;Grupo 3;5.0
89;92;2025;ordinaria;Grupo 4;5.0
90;92;2025;ordinaria;Grupo 5;5.0
91;93;2025;ordinaria;Grupo 1;5.0
92;93;2025;ordinaria;Grupo 2;5.0
93;93;2025;ordinaria;Grupo 3;5.0
94;93;2025;ordinaria;Grupo 4;5.0
95;93;2025;ordinaria;Grupo 5;5.0
96;79;2025;ordinaria;Grupo 1;5.0
97;79;2025;ordinaria;Grupo 2;5.0
98;79;2025;ordinaria;Grupo 3;5.0
99;79;2025;ordinaria;Grupo 4;5.0
100;79;2025;ordinaria;Grupo 5;5.0
101;504;2025;ordinaria;Grupo 2;5.0
102;309;2025;ordinaria;Grupo 2;5.0
