nombre_grado,universidad,tipo,facultad,direccion,telefonos,webs,emails,campus
Antropología Social y Cultural,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Filosofía,"Paseo de la Senda del Rey, 7 (Edificio Humanidades del campus sur) 28040 Madrid",91 398 69 03,www.uned.es,negociado.alumnos.filosofia@adm.uned.es,Madrid
Bellas Artes,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus de MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com,Madrid
Bellas Artes,Universidad Complutense de Madrid,Pública,Facultad de Bellas Artes Campus de Moncloa,"C/ Pintor el Greco, 2 28040 Madrid",91 394 35 60,www.ucm.es,safba@ucm.es,Madrid
Bellas Artes,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Comunicación Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es,
Bellas Artes,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Aranjuez Edificio Pavía,"C/ San Pascual, s/n 28300 Aranjuez (Madrid)",91 488 44 21,www.urjc.es,aranjuez.secretariadealumnos@urjc.es,Aranjuez
Conservación y Restauración del Patrimonio Cultural,Universidad Complutense de Madrid,Pública,Facultad de Bellas Artes Campus de Moncloa,"C/ Pintor el Greco, 2 28040 Madrid",91 394 35 60,www.ucm.es,safba@ucm.es,Madrid
Artes Escénicas,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com,Madrid
Artes Visuales y Danza,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Fuenlabrada,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es,Fuenlabrada
Interpretación de Música Moderna,Universidad Alfonso X El Sabio,Privada,Facultad de Música y Artes Escénicas,"Avda. Comandante Franco, 10 bis 28016 Madrid",91 810 92 00,www.uax.es,info@uax.es,Madrid
Diseño de Interiores / Bachelor in Interior Design,Universidad Antonio de Nebrija,Privada,Escuela Politécnica Superior Campus Dehesa de la Villa,"C/ Pirineos, 55 28040 Madrid",91 452 11 00,www.nebrija.com,informa@nebrija.es,Madrid
Diseño de Interiores / Bachelor in Interior Design,Universidad San PabloCEU,Privada,Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa,"C/ Julián Romea, 18 28003 Madrid",91 514 04 04 / 91 555 25 28,www.udit.es | www.uspceu.com,info.usp@ceu.es | secretaria.alumnos@udit.es,Madrid
