nombre_grado,universidad,tipo,facultad,direccion,telefonos,webs,emails
Antropología Social y Cultural,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Filosofía,"Paseo de la Senda del Rey, 7 (Edificio Humanidades del campus sur) 28040 Madrid",91 398 69 03,www.uned.es,negociado.alumnos.filosofia@adm.uned.es
Bellas Artes,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus de MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com
Bellas Artes,Universidad Complutense de Madrid,Pública,Facultad de Bellas Artes Campus de Moncloa,"C/ Pintor el Greco, 2 28040 Madrid",91 394 35 60,www.ucm.es,safba@ucm.es
Bellas Artes,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Comunicación Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Bellas Artes,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Aranjuez Edificio Pavía,"C/ San Pascual, s/n 28300 Aranjuez (Madrid)",91 488 44 21,www.urjc.es,aranjuez.secretariadealumnos@urjc.es
Conservación y Restauración del Patrimonio Cultural,Universidad Complutense de Madrid,Pública,Facultad de Bellas Artes Campus de Moncloa,"C/ Pintor el Greco, 2 28040 Madrid",91 394 35 60,www.ucm.es,safba@ucm.es
Artes Escénicas,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com
Artes Visuales y Danza,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Fuenlabrada,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es
Interpretación de Música Moderna,Universidad Alfonso X El Sabio,Privada,Facultad de Música y Artes Escénicas,"Avda. Comandante Franco, 10 bis 28016 Madrid",91 810 92 00,www.uax.es,info@uax.es
Diseño de Interiores / Bachelor in Interior Design,Universidad Antonio de Nebrija,Privada,Escuela Politécnica Superior Campus Dehesa de la Villa,"C/ Pirineos, 55 28040 Madrid",91 452 11 00,www.nebrija.com,informa@nebrija.es
Diseño de Interiores / Bachelor in Interior Design,Universidad San PabloCEU,Privada,Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa,"C/ Julián Romea, 18 28003 Madrid",91 514 04 04 / 91 555 25 28,www.udit.es | www.uspceu.com,info.usp@ceu.es | secretaria.alumnos@udit.es
Diseño de Interiores / Bachelor in Interior Design,Universidad San PabloCEU,Privada,Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa,"Avda. Alfonso XIII, 97 28016 Madrid",91 514 04 04 / 91 555 25 28,www.udit.es | www.uspceu.com,info.usp@ceu.es | secretaria.alumnos@udit.es
Diseño,Universidad Complutense de Madrid,Pública,Facultad de Bellas Artes Campus de Moncloa,"C/ Pintor el Greco, 2 28040 Madrid",91 394 35 60,www.ucm.es,safba@ucm.es
Diseño,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño","C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es
Gestión y Comunicación de la Moda,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus de MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com
Gestión y Comunicación de la Moda,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidadess Campus de Aranjuez Edificio Pavía,"C/ San Pascual, s/n 28300 Aranjuez (Madrid)",91 488 44 21 / 91 555 25 28,www.udit.es | www.urjc.es,aranjuez.secretariadealumnos@urjc.es | secretaria.alumnos@udit.es
Gestión y Comunicación de la Moda,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidadess Campus de Aranjuez Edificio Pavía,"Avda. Alfonso XIII, 97 28016 Madrid",91 488 44 21 / 91 555 25 28,www.udit.es | www.urjc.es,aranjuez.secretariadealumnos@urjc.es | secretaria.alumnos@udit.es
Gestión y Comunicación de la Moda,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño","C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es
Diseño Integral y Gestión de la Imagen,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Aranjuez Edificio Pavía,"C/ San Pascual, s/n 28300 Aranjuez (Madrid)",91 488 44 21 / 91 488 83 46,www.urjc.es,aranjuez.secretariadealumnos@urjc.es | ferraz.secretaria@urjc.es
Diseño Integral y Gestión de la Imagen,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Aranjuez Edificio Pavía,"C/ Quintana, 21 28008 Madrid",91 488 44 21 / 91 488 83 46,www.urjc.es,aranjuez.secretariadealumnos@urjc.es | ferraz.secretaria@urjc.es
Diseño Multimedia y Gráfico / Diseño Gráfico y Multimedia,,,,"Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28,www.udit.es,secretaria.alumnos@udit.es
Diseño Multimedia y Gráfico / Diseño Gráfico y Multimedia,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón","C/ Tajo, s/n. Edificio C Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es
Diseño Audiovisual e Ilustración,,,,"Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28,www.udit.es,secretaria.alumnos@udit.es
Diseño de Videojuegos / Diseño y Desarrollo de Videojuegos y Entornos Virtuales,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón","C/Tajo, s/n. Edificio C Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 555 25 28 / 91 740 72 72,www.udit.es | www.universidadeuropea.es/madrid,ads@uem.es | secretaria.alumnos@udit.es
Diseño de Videojuegos / Diseño y Desarrollo de Videojuegos y Entornos Virtuales,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón","Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28 / 91 740 72 72,www.udit.es | www.universidadeuropea.es/madrid,ads@uem.es | secretaria.alumnos@udit.es
Animación,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus Universitario de Villaviciosa de Odón","C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 555 25 28 / 91 740 72 72,www.udit.es | www.universidadeuropea.es/madrid,ads@uem.esUniversidad | secretaria.alumnos@udit.es
Animación,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus Universitario de Villaviciosa de Odón","Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28 / 91 740 72 72,www.udit.es | www.universidadeuropea.es/madrid,ads@uem.esUniversidad | secretaria.alumnos@udit.es
Animación,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño","C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es
Arte Digital y Tecnologías creativas,Universidad San PabloCEU,Privada,Escuela Politécnica Superior Campus de Montepríncipe Ctra,,91 372 40 35,www.uspceu.com,info.usp@ceu.es
