id;nombre;id_universidad;direccion;telefonos;webs;emails
1;Facultad de Filosofía;1;Paseo de la Senda del Rey, 7 (Edificio Humanidades del campus sur) 28040 Madrid;91 398 69 03;www.uned.es;negociado.alumnos.filosofia@adm.uned.es
24;Facultad de Geografía e Historia;1;Paseo de la Senda del Rey, 7 28040 Madrid;91 398 67 04;www.uned.es;negociado.geohist@adm.uned.es
50;Facultad de Ciencias Políticas y Sociología;1;C/ Del Obispo Trejo, 2 28040 Madrid;91 398 89 58;www.uned.es;alumnos.poli@adm.uned.es | infouned@adm.uned.es
73;Facultad de Ciencias Económicas y Empresariales;1;Paseo Senda del Rey, 11 28040 Madrid;91 398 63 04;www.uned.es;negociado.economicas@adm.uned.es
109;Facultad Ciencias Económicas y Empresariales;1;Paseo Senda del Rey, 11 28040 Madrid;91 398 63 04;www.uned.es;negociado.economicas@adm.uned.es
128;Facultad de Ciencias;1;Paseo Senda del Rey, 9 28040 Madrid;91 398 89 03;www.uned.es;negociado.ambientales@adm.uned.es
169;Facultad de Psicología Campus de Ciudad Universitaria;1;C/ Juan del Rosal, 10 Ciudad Universitaria 28040 Madrid;91 398 62 11;www.uned.es;infouned@adm.uned.es
196;Escuela Técnica Superior de Ingenieros Industriales;1;C/ Juan del Rosal, 12 28040 Madrid;91 398 64 04;www.uned.es;negelectricidad@iud.uned.es
219;Escuela Técnica Superior de Ingenieros Informáticos Campus Ciudad Universitaria;1;C/ Juan del Rosal, 16 28040 Madrid;91 398 73 02;www.uned.es;alumnosinformamtica@adm.uned.es
2;Facultad de Comunicación y Artes Campus de MadridPrincesa;2;C/ Santa Cruz de Marcenado, 27 28015 Madrid;91 452 11 03;www.nebrija.com;informa@nebrija.com
6;Facultad de Comunicación y Artes Campus MadridPrincesa;2;C/ Santa Cruz de Marcenado, 27 28015 Madrid;91 452 11 03;www.nebrija.com;informa@nebrija.com
9;Escuela Politécnica Superior Campus Dehesa de la Villa;2;C/ Pirineos, 55 28040 Madrid;91 452 11 00;www.nebrija.com;informa@nebrija.es
53;Facultad de Derecho y de Relaciones Inter nacionales Campus MadridPrincesa;2;C/ Santa Cruz de Marcenado, 27 28015 Madrid;91 452 11 03;www.nebrija.com;informa@nebrija.com
