nombre_grado,centros
Antropología Social y Cultural,"Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Filosofía Paseo de la Senda del Rey, 7 (Edificio Humanidades del campus sur) 28040 Madrid Tels.: 91 398 69 03 / 05 www.uned.es negociado.alumnos.filosofia@adm.uned.es"
Bellas Artes,"Centro de Educación Superior TAI Escuela Universitaria de Artes (Adscrito de titularidad privada a la Universidad Rey Juan Carlos) C/ Recoletos, 22 28004 Madrid Tel.: 91 447 20 55 www.escuelatai.com informacion@taiarts.com Universidad Antonio de Nebrija (Privada) Facultad de Comunicación y Artes Campus de MadridPrincesa C/ Santa Cruz de Marcenado, 27 28015 Madrid Tel.: 91 452 11 03 / 900 321 322 www.nebrija.com informa@nebrija.com Universidad Complutense de Madrid (Pública) Facultad de Bellas Artes Campus de Moncloa C/ Pintor el Greco, 2 28040 Madrid Tels.: 91 394 35 60 / 36 52 www.ucm.es safba@ucm.esUniversidad Francisco de Vitoria (Privada) Facultad de Ciencias de la Comunicación Ctra. de Pozuelo a Majadahonda, Km.1,800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es Universidad Rey Juan Carlos (Pública) Facultad de Artes y Humanidades Campus de Aranjuez Edificio Pavía C/ San Pascual, s/n 28300 Aranjuez (Madrid) Tels.: 91 488 44 21 / 22 www.urjc.es aranjuez.secretariadealumnos@urjc.es"
Conservación y Restauración del Patrimonio Cultural,"Universidad Complutense de Madrid (Pública) Facultad de Bellas Artes Campus de Moncloa C/ Pintor el Greco, 2 28040 Madrid Tels.: 91 394 35 60 / 36 52 www.ucm.es safba@ucm.es"
Artes Escénicas,"Universidad Antonio de Nebrija (Privada) Facultad de Comunicación y Artes Campus MadridPrincesa C/ Santa Cruz de Marcenado, 27 28015 Madrid Tels.: 91 452 11 03 / 900 321 322 www.nebrija.com informa@nebrija.com"
Artes Escénicas e Interpretación Audiovisual,"Centro de Educación Superior TAI Escuela Universitaria de Artes (Adscrito de titularidad privada a la Universidad Rey Juan Carlos) (también en inglés) C/ Recoletos, 22 28004 Madrid Tel.: 91 447 20 55 www.escuelatai.com informacion@taiarts.com"
Efectos Visuales,"Centro de Educación Superior TAI Escuela Universitaria de Artes (Adscrito de titularidad privada a la Universidad Rey Juan Carlos) (también en inglés) C/ Recoletos, 22 28004 Madrid Tel.: 91 447 20 55 www.escuelatai.com informacion@taiarts.com"
Artes Visuales y Danza,"Universidad Rey Juan Carlos (Pública) Facultad de Artes y Humanidades Campus de Fuenlabrada Camino del Molino, s/n 28943 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es"
Cinematografía/Bachelor in Filmmaking,"de Grado en Cine y Ficción Audiovisual Universidad Camilo José Cela (Privada) Facultad de Comunicación y Humanidades C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid) Tel.: 91 815 31 31 www.ucjc.edu info@ucjc.edu Direcciones de los centros donde se imparte la de Grado en Cinematografía/Bachelor in Filmmaking Centro de Educación Superior TAI Escuela Universitaria de Artes (Adscrito de titularidad privada a la Universidad Rey Juan Carlos) (también en inglés) C/ Recoletos, 22 28001 Madrid Tel.: 91 447 20 55 www.escuelatai.com información @taiarts.com"
Fotografía y Creación Audiovisual,"Centro de Educación Superior TAI Escuela Universitaria de Artes (Adscrito de titularidad privada a la Universidad Rey Juan Carlos) C/ Recoletos, 22 28001 Madrid Tel.: 91 447 20 55 www.escuelatai.com informacion@taiarts.com"
Composición Musical,"de Grado en Composición Musical Centro de Educación Superior TAI Escuela Universitaria de Artes (Adscrito de titularidad privada a la Universidad Rey Juan Carlos) (también en inglés) C/ Recoletos, 22 28001 Madrid Tel.: 91 447 20 55 www.escuelatai.com informacion@taiarts.com"
