id;id_grado;id_facultad
1;1;1
2;2;1
3;3;1
4;4;1
5;34;1
6;1;17
7;2;17
8;3;17
9;4;17
10;32;17
11;38;17
12;39;17
13;40;17
14;110;17
15;1;37
16;2;37
17;3;37
18;4;37
19;5;2
20;19;2
21;29;2
22;5;3
23;6;3
24;18;3
25;5;4
26;41;4
27;117;4
28;118;4
29;123;4
30;119;4
31;131;4
32;5;5
33;20;5
34;7;6
35;74;6
36;117;6
37;118;6
38;123;6
39;120;6
40;127;6
41;134;6
42;10;7
43;34;7
44;38;7
45;15;8
46;40;8
47;18;11
48;19;11
49;29;11
50;26;11
51;19;12
52;29;12
53;26;14
54;28;15
55;28;13
56;142;13
57;143;13
58;170;13
59;16;13
60;30;13
61;175;13
62;185;13
63;186;13
64;195;13
65;202;13
66;208;13
67;215;13
68;220;13
69;31;16
70;41;16
71;42;16
72;117;16
73;118;16
74;123;16
75;33;18
76;43;18
77;46;18
78;48;18
79;49;18
80;50;18
81;52;18
82;34;19
83;36;19
84;45;19
85;47;19
86;49;19
87;51;19
88;55;19
89;34;20
90;34;21
91;55;21
92;166;21
93;35;22
94;36;23
95;38;23
96;39;23
97;37;24
98;39;24
99;40;24
100;38;25
101;41;25
102;44;25
103;49;25
104;38;10
105;39;10
106;117;10
107;120;10
108;126;10
109;38;26
110;40;27
111;56;27
112;57;27
113;60;27
114;61;27
115;65;27
116;72;27
117;74;27
118;76;27
119;78;27
120;80;27
121;92;27
122;97;27
123;105;27
124;114;27
125;117;27
126;142;27
127;143;27
128;151;27
129;156;27
130;158;27
131;166;27
132;185;27
133;42;28
134;135;28
135;46;29
136;46;30
137;49;30
138;51;31
139;53;32
140;54;33
141;117;33
142;55;34
143;55;35
144;76;35
145;91;35
146;92;35
147;105;35
148;118;35
149;123;35
150;55;36
151;56;38
152;57;38
153;60;38
154;61;38
155;56;39
156;57;39
157;60;39
158;61;39
159;58;39
160;59;39
161;56;40
162;57;40
163;60;40
164;61;40
165;56;41
166;57;41
167;60;41
168;61;41
169;76;41
170;80;41
171;91;41
172;92;41
173;132;41
174;56;42
175;57;42
176;60;42
177;61;42
178;56;140
179;57;140
180;60;140
181;61;140
182;156;140
183;56;141
184;57;141
185;60;141
186;61;141
187;156;141
188;158;141
189;160;141
190;162;141
191;163;141
192;166;141
193;56;142
194;57;142
195;60;142
196;61;142
197;156;142
198;157;142
199;158;142
200;160;142
201;161;142
202;162;142
203;163;142
204;56;143
205;57;143
206;60;143
207;61;143
208;62;43
209;91;43
210;92;43
211;97;43
212;63;44
213;75;44
214;78;44
215;79;44
216;63;45
217;66;45
218;76;45
219;64;46
220;74;46
221;78;46
222;91;46
223;92;46
224;97;46
225;117;46
226;118;46
227;123;46
228;120;46
229;65;47
230;72;47
231;108;47
232;65;48
233;68;48
234;66;49
235;78;49
236;67;50
237;72;50
238;69;51
239;72;56
240;73;57
241;74;58
242;81;58
243;74;52
244;78;52
245;74;59
246;78;59
247;97;59
248;101;59
249;105;59
250;130;59
251;74;60
252;74;61
253;97;61
254;76;55
255;77;55
256;78;55
257;132;55
258;76;62
259;77;54
260;117;54
261;121;54
262;134;54
263;77;63
264;78;64
265;78;65
266;78;66
267;78;67
268;78;68
269;81;69
270;97;69
271;81;70
272;82;70
273;97;70
274;105;70
275;133;70
276;81;71
277;86;71
278;81;72
279;85;72
280;97;72
281;81;73
282;81;74
283;86;74
284;87;74
285;98;74
286;81;75
287;91;75
288;92;75
289;86;78
290;91;79
291;93;79
292;91;80
293;91;81
294;92;81
295;93;81
296;166;81
297;91;82
298;92;83
299;92;84
300;92;85
301;94;86
302;94;87
303;97;88
304;106;88
305;97;89
306;99;77
307;99;90
308;100;91
309;188;91
310;107;94
311;109;94
312;110;95
313;115;96
314;116;97
315;117;98
316;118;98
317;123;98
318;120;98
319;117;99
320;117;100
321;118;100
322;123;100
323;120;100
324;126;100
325;118;101
326;123;101
327;120;101
328;119;102
329;132;104
330;132;105
331;133;106
332;133;107
333;133;108
334;133;109
335;133;110
336;133;111
337;134;112
338;135;113
339;144;113
340;145;113
341;135;114
342;135;115
343;135;116
344;157;116
345;135;117
346;156;117
347;157;117
348;158;117
349;159;117
350;160;117
351;161;117
352;162;117
353;166;117
354;168;117
355;135;118
356;157;118
357;160;118
358;161;118
359;185;118
360;135;119
361;155;119
362;157;119
363;135;120
364;135;121
365;136;122
366;137;122
367;139;122
368;183;122
369;184;122
370;190;122
371;138;123
372;138;124
373;138;125
374;140;125
375;192;125
376;193;125
377;196;125
378;197;125
379;139;126
380;139;127
381;139;128
382;142;128
383;143;128
384;151;128
385;154;128
386;141;129
387;178;129
388;179;129
389;180;129
390;185;129
391;141;130
392;154;130
393;155;130
394;142;131
395;143;131
396;169;131
397;175;131
398;189;131
399;192;131
400;193;131
401;195;131
402;215;131
403;142;132
