id;id_grado_ofertado;año;convocatoria;grupo;nota
1;83;2025;ordinaria;Grupo 1;5.0
2;94;2025;ordinaria;Grupo 1;5.0
3;83;2025;ordinaria;Grupo 2;5.0
4;94;2025;ordinaria;Grupo 2;5.0
5;83;2025;ordinaria;Grupo 3;5.0
6;94;2025;ordinaria;Grupo 3;5.0
7;83;2025;ordinaria;Grupo 4;5.0
8;94;2025;ordinaria;Grupo 4;5.0
9;83;2025;ordinaria;Grupo 5;5.0
10;94;2025;ordinaria;Grupo 5;5.0
11;19;2025;ordinaria;Grupo 1;9.936
12;22;2025;ordinaria;Grupo 1;9.936
13;25;2025;ordinaria;Grupo 1;9.936
14;32;2025;ordinaria;Grupo 1;9.936
15;19;2025;ordinaria;Grupo 2;9.29
16;22;2025;ordinaria;Grupo 2;9.29
17;25;2025;ordinaria;Grupo 2;9.29
18;32;2025;ordinaria;Grupo 2;9.29
19;19;2025;ordinaria;Grupo 3;5.0
20;22;2025;ordinaria;Grupo 3;5.0
21;25;2025;ordinaria;Grupo 3;5.0
22;32;2025;ordinaria;Grupo 3;5.0
23;19;2025;ordinaria;Grupo 4;5.0
24;22;2025;ordinaria;Grupo 4;5.0
25;25;2025;ordinaria;Grupo 4;5.0
26;32;2025;ordinaria;Grupo 4;5.0
27;19;2025;ordinaria;Grupo 5;5.0
28;22;2025;ordinaria;Grupo 5;5.0
29;25;2025;ordinaria;Grupo 5;5.0
30;32;2025;ordinaria;Grupo 5;5.0
31;93;2025;ordinaria;Grupo 1;5.0
32;93;2025;ordinaria;Grupo 2;5.0
33;93;2025;ordinaria;Grupo 3;5.0
34;93;2025;ordinaria;Grupo 4;5.0
35;93;2025;ordinaria;Grupo 5;5.0
36;23;2025;ordinaria;Grupo 1;9.6
37;23;2025;ordinaria;Grupo 2;8.94
38;23;2025;ordinaria;Grupo 3;5.0
39;23;2025;ordinaria;Grupo 4;5.0
40;23;2025;ordinaria;Grupo 5;5.0
41;24;2025;ordinaria;Grupo 1;11.65
42;47;2025;ordinaria;Grupo 1;11.65
43;24;2025;ordinaria;Grupo 2;8.3
44;47;2025;ordinaria;Grupo 2;8.3
45;24;2025;ordinaria;Grupo 3;5.0
46;47;2025;ordinaria;Grupo 3;5.0
47;24;2025;ordinaria;Grupo 4;5.0
48;47;2025;ordinaria;Grupo 4;5.0
49;24;2025;ordinaria;Grupo 5;5.0
50;47;2025;ordinaria;Grupo 5;5.0
51;76;2025;ordinaria;Grupo 1;5.0
52;76;2025;ordinaria;Grupo 2;5.0
53;76;2025;ordinaria;Grupo 3;5.0
54;76;2025;ordinaria;Grupo 4;5.0
55;76;2025;ordinaria;Grupo 5;5.0
56;79;2025;ordinaria;Grupo 1;5.0
57;86;2025;ordinaria;Grupo 1;5.0
58;103;2025;ordinaria;Grupo 1;5.0
59;137;2025;ordinaria;Grupo 1;5.0
60;79;2025;ordinaria;Grupo 2;5.0
61;86;2025;ordinaria;Grupo 2;5.0
62;103;2025;ordinaria;Grupo 2;5.0
63;137;2025;ordinaria;Grupo 2;5.0
64;79;2025;ordinaria;Grupo 3;5.0
65;86;2025;ordinaria;Grupo 3;5.0
66;103;2025;ordinaria;Grupo 3;5.0
67;137;2025;ordinaria;Grupo 3;5.0
68;79;2025;ordinaria;Grupo 4;5.0
69;86;2025;ordinaria;Grupo 4;5.0
70;103;2025;ordinaria;Grupo 4;5.0
71;137;2025;ordinaria;Grupo 4;5.0
72;79;2025;ordinaria;Grupo 5;5.0
73;86;2025;ordinaria;Grupo 5;5.0
74;103;2025;ordinaria;Grupo 5;5.0
75;137;2025;ordinaria;Grupo 5;5.0
76;0;2025;ordinaria;Grupo 1;5.0
77;0;2025;ordinaria;Grupo 2;5.0
78;0;2025;ordinaria;Grupo 3;5.0
79;0;2025;ordinaria;Grupo 4;5.0
80;0;2025;ordinaria;Grupo 5;5.0
81;0;2025;ordinaria;Grupo 1;5.378
82;0;2025;ordinaria;Grupo 2;7.5
83;0;2025;ordinaria;Grupo 3;5.0
84;0;2025;ordinaria;Grupo 4;5.0
85;0;2025;ordinaria;Grupo 5;5.0
86;78;2025;ordinaria;Grupo 1;5.0
87;78;2025;ordinaria;Grupo 2;5.0
88;78;2025;ordinaria;Grupo 3;5.0
89;78;2025;ordinaria;Grupo 4;5.0
90;78;2025;ordinaria;Grupo 5;5.0
91;5;2025;ordinaria;Grupo 1;5.94
92;43;2025;ordinaria;Grupo 1;5.94
93;82;2025;ordinaria;Grupo 1;5.94
94;89;2025;ordinaria;Grupo 1;5.94
95;90;2025;ordinaria;Grupo 1;5.94
96;5;2025;ordinaria;Grupo 2;8.79
97;43;2025;ordinaria;Grupo 2;8.79
98;82;2025;ordinaria;Grupo 2;8.79
99;89;2025;ordinaria;Grupo 2;8.79
100;90;2025;ordinaria;Grupo 2;8.79
101;5;2025;ordinaria;Grupo 3;5.0
102;43;2025;ordinaria;Grupo 3;5.0
103;82;2025;ordinaria;Grupo 3;5.0
104;89;2025;ordinaria;Grupo 3;5.0
105;90;2025;ordinaria;Grupo 3;5.0
106;5;2025;ordinaria;Grupo 4;5.0
107;43;2025;ordinaria;Grupo 4;5.0
108;82;2025;ordinaria;Grupo 4;5.0
109;89;2025;ordinaria;Grupo 4;5.0
110;90;2025;ordinaria;Grupo 4;5.0
111;5;2025;ordinaria;Grupo 5;5.0
112;43;2025;ordinaria;Grupo 5;5.0
113;82;2025;ordinaria;Grupo 5;5.0
114;89;2025;ordinaria;Grupo 5;5.0
115;90;2025;ordinaria;Grupo 5;5.0
116;0;2025;ordinaria;Grupo 1;8.384
117;0;2025;ordinaria;Grupo 2;8.0
118;0;2025;ordinaria;Grupo 3;7.03
119;0;2025;ordinaria;Grupo 4;5.0
120;0;2025;ordinaria;Grupo 5;5.0
121;11;2025;ordinaria;Grupo 1;5.0
122;44;2025;ordinaria;Grupo 1;5.0
123;95;2025;ordinaria;Grupo 1;5.0
124;100;2025;ordinaria;Grupo 1;5.0
125;104;2025;ordinaria;Grupo 1;5.0
126;109;2025;ordinaria;Grupo 1;5.0
127;11;2025;ordinaria;Grupo 2;5.0
128;44;2025;ordinaria;Grupo 2;5.0
129;95;2025;ordinaria;Grupo 2;5.0
130;100;2025;ordinaria;Grupo 2;5.0
131;104;2025;ordinaria;Grupo 2;5.0
132;109;2025;ordinaria;Grupo 2;5.0
133;11;2025;ordinaria;Grupo 3;5.0
134;44;2025;ordinaria;Grupo 3;5.0
135;95;2025;ordinaria;Grupo 3;5.0
136;100;2025;ordinaria;Grupo 3;5.0
137;104;2025;ordinaria;Grupo 3;5.0
138;109;2025;ordinaria;Grupo 3;5.0
139;11;2025;ordinaria;Grupo 4;5.0
140;44;2025;ordinaria;Grupo 4;5.0
141;95;2025;ordinaria;Grupo 4;5.0
142;100;2025;ordinaria;Grupo 4;5.0
143;104;2025;ordinaria;Grupo 4;5.0
144;109;2025;ordinaria;Grupo 4;5.0
145;11;2025;ordinaria;Grupo 5;5.0
146;44;2025;ordinaria;Grupo 5;5.0
147;95;2025;ordinaria;Grupo 5;5.0
148;100;2025;ordinaria;Grupo 5;5.0
149;104;2025;ordinaria;Grupo 5;5.0
150;109;2025;ordinaria;Grupo 5;5.0
151;12;2025;ordinaria;Grupo 1;5.0
152;96;2025;ordinaria;Grupo 1;5.0
153;98;2025;ordinaria;Grupo 1;5.0
154;105;2025;ordinaria;Grupo 1;5.0
155;12;2025;ordinaria;Grupo 2;5.0
156;96;2025;ordinaria;Grupo 2;5.0
157;98;2025;ordinaria;Grupo 2;5.0
158;105;2025;ordinaria;Grupo 2;5.0
159;12;2025;ordinaria;Grupo 3;5.0
160;96;2025;ordinaria;Grupo 3;5.0
161;98;2025;ordinaria;Grupo 3;5.0
162;105;2025;ordinaria;Grupo 3;5.0
163;12;2025;ordinaria;Grupo 4;5.0
164;96;2025;ordinaria;Grupo 4;5.0
165;98;2025;ordinaria;Grupo 4;5.0
166;105;2025;ordinaria;Grupo 4;5.0
167;12;2025;ordinaria;Grupo 5;5.0
168;96;2025;ordinaria;Grupo 5;5.0
169;98;2025;ordinaria;Grupo 5;5.0
170;105;2025;ordinaria;Grupo 5;5.0
171;81;2025;ordinaria;Grupo 1;5.0
172;81;2025;ordinaria;Grupo 2;5.0
173;81;2025;ordinaria;Grupo 3;5.0
174;81;2025;ordinaria;Grupo 4;5.0
175;81;2025;ordinaria;Grupo 5;5.0
176;0;2025;ordinaria;Grupo 1;5.0
177;0;2025;ordinaria;Grupo 2;5.0
178;0;2025;ordinaria;Grupo 3;5.0
179;0;2025;ordinaria;Grupo 4;5.0
180;0;2025;ordinaria;Grupo 5;5.0
181;0;2025;ordinaria;Grupo 1;5.0
182;0;2025;ordinaria;Grupo 2;5.0
183;0;2025;ordinaria;Grupo 3;5.0
184;0;2025;ordinaria;Grupo 4;5.0
185;0;2025;ordinaria;Grupo 5;5.0
186;13;2025;ordinaria;Grupo 1;5.0
187;46;2025;ordinaria;Grupo 1;5.0
188;99;2025;ordinaria;Grupo 1;5.0
189;110;2025;ordinaria;Grupo 1;5.0
190;13;2025;ordinaria;Grupo 2;5.0
191;46;2025;ordinaria;Grupo 2;5.0
192;99;2025;ordinaria;Grupo 2;5.0
193;110;2025;ordinaria;Grupo 2;5.0
194;13;2025;ordinaria;Grupo 3;5.0
195;46;2025;ordinaria;Grupo 3;5.0
196;99;2025;ordinaria;Grupo 3;5.0
197;110;2025;ordinaria;Grupo 3;5.0
198;13;2025;ordinaria;Grupo 4;5.0
199;46;2025;ordinaria;Grupo 4;5.0
200;99;2025;ordinaria;Grupo 4;5.0
201;110;2025;ordinaria;Grupo 4;5.0
202;13;2025;ordinaria;Grupo 5;5.0
203;46;2025;ordinaria;Grupo 5;5.0
204;99;2025;ordinaria;Grupo 5;5.0
205;110;2025;ordinaria;Grupo 5;5.0
206;88;2025;ordinaria;Grupo 1;5.0
207;91;2025;ordinaria;Grupo 1;5.0
208;142;2025;ordinaria;Grupo 1;5.0
209;143;2025;ordinaria;Grupo 1;5.0
210;150;2025;ordinaria;Grupo 1;5.0
211;88;2025;ordinaria;Grupo 2;5.0
212;91;2025;ordinaria;Grupo 2;5.0
213;142;2025;ordinaria;Grupo 2;5.0
214;143;2025;ordinaria;Grupo 2;5.0
215;150;2025;ordinaria;Grupo 2;5.0
216;88;2025;ordinaria;Grupo 3;5.0
217;91;2025;ordinaria;Grupo 3;5.0
218;142;2025;ordinaria;Grupo 3;5.0
219;143;2025;ordinaria;Grupo 3;5.0
220;150;2025;ordinaria;Grupo 3;5.0
221;88;2025;ordinaria;Grupo 4;5.0
222;91;2025;ordinaria;Grupo 4;5.0
223;142;2025;ordinaria;Grupo 4;5.0
224;143;2025;ordinaria;Grupo 4;5.0
225;150;2025;ordinaria;Grupo 4;5.0
226;88;2025;ordinaria;Grupo 5;5.0
227;91;2025;ordinaria;Grupo 5;5.0
228;142;2025;ordinaria;Grupo 5;5.0
229;143;2025;ordinaria;Grupo 5;5.0
230;150;2025;ordinaria;Grupo 5;5.0
231;122;2025;ordinaria;Grupo 1;9.564
