universidad,grado,grupo,nota,año,convocatoria
Universidad Complutense De Madrid,Arqueología,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Arqueología,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Arqueología,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Arqueología,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Arqueología,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 1,9.936,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 2,9.29,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Bellas Artes,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Ciencias de las Religiones,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Conservación y Restauración del Patrimonio Cultural,Grupo 1,9.600,2025,ordinaria
Universidad Complutense De Madrid,Conservación y Restauración del Patrimonio Cultural,Grupo 2,8.94,2025,ordinaria
Universidad Complutense De Madrid,Conservación y Restauración del Patrimonio Cultural,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Conservación y Restauración del Patrimonio Cultural,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Conservación y Restauración del Patrimonio Cultural,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Diseño,Grupo 1,11.650,2025,ordinaria
Universidad Complutense De Madrid,Diseño,Grupo 2,8.30,2025,ordinaria
Universidad Complutense De Madrid,Diseño,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Diseño,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Diseño,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Español: Lengua y Literatura,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Español: Lengua y Literatura,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Español: Lengua y Literatura,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Español: Lengua y Literatura,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Español: Lengua y Literatura,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Ingleses,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semíticos e Islámicos,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semíticos e Islámicos,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semíticos e Islámicos,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semíticos e Islámicos,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Semíticos e Islámicos,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Estudios Teatrales,Grupo 1,5.378,2025,ordinaria
Universidad Complutense De Madrid,Estudios Teatrales,Grupo 2,7.50,2025,ordinaria
Universidad Complutense De Madrid,Estudios Teatrales,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Estudios Teatrales,Grupo 4,5.00,2025,ordinaria
