id,descripcion_words_orig,salidas_words_orig,descripcion_words_subs,salidas_words_subs,descripcion_reduction_%,salidas_reduction_%
1,125,159,38,26,69.6,83.64779874213836
2,125,159,36,50,71.2,68.55345911949686
3,171,94,40,31,76.60818713450293,67.02127659574468
4,75,265,34,35,54.666666666666664,86.79245283018868
5,110,97,22,15,80.0,84.5360824742268
6,98,111,38,19,61.224489795918366,82.88288288288288
7,98,111,44,15,55.10204081632652,86.48648648648648
8,171,107,47,24,72.51461988304094,77.57009345794393
9,133,227,40,36,69.92481203007519,84.14096916299559
10,133,227,47,31,64.66165413533835,86.34361233480176
11,196,59,39,12,80.10204081632652,79.66101694915254
12,370,85,46,28,87.56756756756756,67.05882352941177
13,89,123,23,16,74.15730337078652,86.99186991869918
14,239,246,44,28,81.58995815899581,88.6178861788618
15,239,246,44,29,81.58995815899581,88.21138211382113
16,111,89,25,19,77.47747747747748,78.65168539325843
17,101,130,31,13,69.3069306930693,90.0
18,76,156,27,16,64.47368421052632,89.74358974358975
19,108,61,30,19,72.22222222222221,68.85245901639344
20,108,61,30,23,72.22222222222221,62.295081967213115
21,179,79,42,26,76.53631284916202,67.08860759493672
22,374,76,64,16,82.88770053475936,78.94736842105263
23,374,76,74,17,80.21390374331551,77.63157894736842
24,139,72,28,12,79.85611510791367,83.33333333333334
25,140,80,36,23,74.28571428571429,71.25
26,109,191,32,20,70.64220183486239,89.52879581151832
27,177,96,36,21,79.66101694915254,78.125
28,126,109,59,30,53.17460317460318,72.47706422018348
29,73,133,20,21,72.6027397260274,84.21052631578947
30,113,58,33,14,70.79646017699115,75.86206896551724
31,230,61,56,25,75.65217391304347,59.01639344262295
32,129,109,39,24,69.76744186046511,77.98165137614679
33,132,90,36,23,72.72727272727273,74.44444444444444
34,230,86,55,20,76.08695652173914,76.74418604651163
35,74,64,29,27,60.810810810810814,57.8125
36,110,55,15,17,86.36363636363636,69.0909090909091
37,61,69,17,8,72.1311475409836,88.40579710144928
38,171,78,30,23,82.45614035087719,70.51282051282051
39,160,75,38,14,76.25,81.33333333333333
40,216,82,37,16,82.87037037037037,80.48780487804879
41,56,61,27,9,51.78571428571428,85.24590163934427
42,117,40,29,14,75.21367521367522,65.0
43,72,94,35,14,51.388888888888886,85.1063829787234
44,92,79,41,17,55.434782608695656,78.48101265822784
45,133,74,34,44,74.43609022556392,40.54054054054054
46,149,88,61,20,59.06040268456376,77.27272727272727
47,113,89,61,21,46.01769911504425,76.40449438202246
48,119,107,41,23,65.54621848739495,78.50467289719626
49,81,243,20,30,75.30864197530865,87.65432098765432
50,149,123,44,24,70.46979865771812,80.48780487804879
51,83,155,25,30,69.87951807228916,80.64516129032258
52,125,159,40,29,68.0,81.76100628930818
53,125,159,40,33,68.0,79.24528301886792
54,75,103,22,17,70.66666666666667,83.49514563106796
55,75,103,21,18,72.0,82.52427184466019
56,90,96,22,30,75.55555555555556,68.75
57,90,96,22,30,75.55555555555556,68.75
58,126,87,36,23,71.42857142857143,73.5632183908046
59,102,161,42,32,58.82352941176471,80.12422360248448
60,69,171,24,29,65.21739130434783,83.04093567251462
61,137,329,35,42,74.45255474452554,87.2340425531915
62,41,120,17,22,58.53658536585367,81.66666666666667
63,41,114,19,37,53.65853658536586,67.54385964912281
64,46,73,26,18,43.47826086956522,75.34246575342466
65,253,53,46,22,81.81818181818181,58.490566037735846
66,85,132,23,23,72.94117647058825,82.57575757575756
67,85,132,23,22,72.94117647058825,83.33333333333334
68,96,70,41,26,57.29166666666667,62.857142857142854
69,127,84,30,21,76.37795275590551,75.0
70,89,136,21,25,76.40449438202246,81.61764705882352
71,126,58,34,19,73.01587301587303,67.24137931034483
72,75,122,30,14,60.0,88.52459016393442
73,124,111,32,34,74.19354838709677,69.36936936936937
74,153,134,46,32,69.93464052287581,76.11940298507463
75,96,178,53,32,44.791666666666664,82.02247191011236
76,74,102,26,30,64.86486486486487,70.58823529411764
77,70,89,30,15,57.14285714285714,83.14606741573034
78,46,34,28,14,39.13043478260869,58.82352941176471
79,150,132,46,53,69.33333333333334,59.84848484848485
80,150,132,40,44,73.33333333333334,66.66666666666667
81,197,184,39,29,80.20304568527918,84.23913043478261
82,98,66,30,18,69.38775510204081,72.72727272727273
83,83,81,28,17,66.26506024096386,79.01234567901234
84,276,27,42,11,84.78260869565217,59.25925925925925
85,276,27,38,10,86.23188405797102,62.96296296296296
86,276,27,60,11,78.26086956521739,59.25925925925925
87,51,100,27,24,47.05882352941176,76.0
88,42,97,21,40,50.0,58.76288659793815
89,79,92,40,18,49.36708860759494,80.43478260869566
90,117,108,30,23,74.35897435897436,78.7037037037037
91,173,41,56,29,67.6300578034682,29.268292682926834
92,84,85,35,11,58.33333333333333,87.05882352941177
93,87,93,25,21,71.26436781609196,77.41935483870968
94,130,263,39,45,70.0,82.88973384030417
95,140,31,32,9,77.14285714285715,70.96774193548387
96,197,79,56,41,71.57360406091371,48.10126582278481
97,107,149,39,34,63.55140186915889,77.18120805369128
98,100,49,38,12,62.0,75.51020408163265
99,70,162,29,22,58.57142857142856,86.41975308641976
100,70,162,22,22,68.57142857142857,86.41975308641976
101,150,59,30,16,80.0,72.88135593220339
102,118,42,46,11,61.01694915254237,73.80952380952381
103,110,136,30,12,72.72727272727273,91.17647058823529
104,169,179,35,28,79.28994082840237,84.35754189944133
105,437,151,50,26,88.558352402746,82.78145695364239
106,32,128,17,37,46.875,71.09375
107,136,96,36,18,73.52941176470588,81.25
108,136,96,33,22,75.73529411764706,77.08333333333334
109,136,96,35,17,74.26470588235294,82.29166666666666
110,127,146,40,16,68.50393700787401,89.04109589041096
111,90,65,32,23,64.44444444444444,64.61538461538461
112,98,50,31,16,68.36734693877551,68.0
113,105,100,32,16,69.52380952380952,84.0
114,101,130,35,16,65.34653465346535,87.6923076923077
115,206,75,40,28,80.58252427184466,62.66666666666667
116,69,67,28,10,59.42028985507246,85.07462686567165
117,85,100,23,12,72.94117647058825,88.0
118,74,159,31,28,58.10810810810811,82.38993710691824
119,182,74,50,29,72.52747252747253,60.810810810810814
120,97,62,27,16,72.16494845360825,74.19354838709677
121,97,62,14,13,85.56701030927836,79.03225806451613
122,119,55,31,15,73.94957983193278,72.72727272727273
123,92,82,26,16,71.73913043478262,80.48780487804879
124,52,49,23,21,55.769230769230774,57.14285714285714
125,141,114,36,22,74.46808510638299,80.70175438596492
126,206,75,57,18,72.33009708737865,76.0
127,189,68,50,19,73.54497354497354,72.05882352941177
128,446,80,42,25,90.5829596412556,68.75
129,181,267,43,25,76.24309392265194,90.63670411985018
130,123,95,27,25,78.04878048780488,73.6842105263158
131,127,182,36,36,71.65354330708662,80.21978021978022
132,248,265,49,26,80.24193548387098,90.18867924528303
133,183,69,39,15,78.68852459016394,78.26086956521739
134,163,52,43,11,73.61963190184049,78.84615384615384
135,232,139,52,28,77.58620689655173,79.85611510791367
136,72,153,19,37,73.61111111111111,75.81699346405229
137,321,158,39,43,87.85046728971963,72.78481012658227
138,87,67,24,27,72.41379310344827,59.70149253731343
139,75,103,28,17,62.66666666666667,83.49514563106796
140,75,103,31,17,58.666666666666664,83.49514563106796
141,186,95,54,30,70.96774193548387,68.42105263157895
142,186,95,43,29,76.88172043010752,69.47368421052632
143,92,115,35,19,61.95652173913043,83.47826086956522
144,92,115,35,28,61.95652173913043,75.65217391304347
145,336,537,41,30,87.79761904761905,94.41340782122904
146,134,141,30,25,77.61194029850746,82.26950354609929
147,311,39,53,15,82.95819935691318,61.53846153846154
148,57,100,16,27,71.9298245614035,73.0
149,227,138,44,44,80.61674008810573,68.11594202898551
150,130,60,40,16,69.23076923076923,73.33333333333334
151,75,103,26,22,65.33333333333333,78.64077669902912
152,75,103,26,24,65.33333333333333,76.69902912621359
153,114,83,39,19,65.78947368421053,77.10843373493977
154,67,154,27,23,59.70149253731343,85.06493506493507
155,249,298,54,35,78.3132530120482,88.25503355704699
156,83,128,31,34,62.65060240963856,73.4375
157,146,86,49,28,66.43835616438356,67.44186046511628
158,174,113,35,32,79.88505747126436,71.68141592920354
159,57,168,23,23,59.64912280701755,86.30952380952381
160,65,153,11,28,83.07692307692307,81.69934640522875
161,51,124,27,31,47.05882352941176,75.0
162,138,109,35,20,74.63768115942028,81.65137614678899
163,152,251,33,28,78.28947368421053,88.84462151394422
164,96,128,34,21,64.58333333333333,83.59375
165,189,174,47,30,75.13227513227514,82.75862068965517
166,34,387,15,29,55.88235294117647,92.50645994832041
167,140,22,44,13,68.57142857142857,40.90909090909091
168,100,117,26,22,74.0,81.19658119658119
169,239,246,50,28,79.07949790794979,88.6178861788618
170,163,169,30,39,81.59509202453987,76.92307692307692
171,116,95,39,22,66.37931034482759,76.84210526315789
172,185,88,50,19,72.97297297297297,78.4090909090909
173,185,88,40,18,78.37837837837837,79.54545454545455
174,166,159,57,26,65.66265060240963,83.64779874213836
175,157,118,32,32,79.61783439490446,72.88135593220339
176,143,92,34,30,76.22377622377623,67.3913043478261
177,97,79,25,28,74.22680412371135,64.55696202531645
178,85,187,22,37,74.11764705882354,80.21390374331551
179,186,327,34,71,81.72043010752688,78.2874617737003
180,132,154,28,41,78.78787878787878,73.37662337662339
181,175,134,48,22,72.57142857142857,83.5820895522388
182,109,77,21,24,80.73394495412845,68.83116883116884
183,131,122,41,29,68.70229007633588,76.22950819672131
184,123,303,25,63,79.67479674796748,79.20792079207921
185,191,102,49,19,74.3455497382199,81.37254901960785
186,138,122,30,16,78.26086956521739,86.88524590163934
187,151,149,33,27,78.1456953642384,81.87919463087249
188,58,52,30,22,48.275862068965516,57.692307692307686
189,139,115,38,16,72.66187050359711,86.08695652173914
190,108,92,30,34,72.22222222222221,63.04347826086957
191,172,103,43,26,75.0,74.75728155339806
192,135,118,41,22,69.62962962962963,81.35593220338984
193,157,99,34,23,78.343949044586,76.76767676767678
194,140,90,29,14,79.28571428571428,84.44444444444444
195,35,105,25,25,28.57142857142857,76.19047619047619
196,131,134,37,28,71.7557251908397,79.10447761194031
197,151,121,43,25,71.52317880794702,79.33884297520662
198,136,107,37,22,72.79411764705883,79.43925233644859
199,224,131,48,20,78.57142857142857,84.7328244274809
200,168,144,36,25,78.57142857142857,82.63888888888889
201,124,121,35,30,71.7741935483871,75.20661157024793
202,82,255,16,24,80.48780487804879,90.58823529411765
203,166,88,32,32,80.72289156626506,63.63636363636363
204,97,201,13,29,86.5979381443299,85.57213930348259
205,139,145,41,28,70.50359712230217,80.6896551724138
206,101,126,35,19,65.34653465346535,84.92063492063492
207,163,126,33,18,79.75460122699387,85.71428571428572
208,92,148,41,35,55.434782608695656,76.35135135135135
209,85,112,41,33,51.764705882352935,70.53571428571428
210,126,144,33,42,73.80952380952381,70.83333333333333
211,128,164,29,31,77.34375,81.09756097560977
212,359,203,42,30,88.3008356545961,85.22167487684729
213,87,257,38,52,56.32183908045977,79.76653696498055
214,214,84,56,23,73.83177570093457,72.61904761904762
215,56,100,20,16,64.28571428571428,84.0
216,123,156,34,20,72.35772357723577,87.17948717948718
217,64,97,17,26,73.4375,73.1958762886598
218,194,103,41,23,78.8659793814433,77.66990291262135
219,113,249,30,41,73.45132743362832,83.53413654618474
220,104,92,27,50,74.03846153846155,45.652173913043484
221,87,366,41,25,52.87356321839081,93.16939890710383
222,116,35,26,19,77.58620689655173,45.714285714285715
223,359,203,61,34,83.008356545961,83.2512315270936
224,155,192,45,35,70.96774193548387,81.77083333333334
225,348,122,57,34,83.62068965517241,72.1311475409836
