id,grado,descripcion,palabras
1,Ingeniería Informática,"Este grado ofrece una formación integral en diseño, desarrollo y mantenimiento de sistemas de software y hardware, combinando fundamentos teóricos sólidos con una orientación práctica y aplicada. A lo largo del itinerario se trabajan estructuras de datos, algoritmos y complejidad, y se consolidan competencias en programación imperativa, orientada a objetos y funcional. El estudiantado aprende a analizar problemas, proponer arquitecturas, estimar costes y riesgos, y comunicar soluciones tecnológicas a audiencias técnicas y no técnicas, con especial atención a la accesibilidad y la sostenibilidad.

Durante los primeros cursos se profundiza en matemáticas discretas, cálculo, álgebra lineal y probabilidad, conectando estos contenidos con el diseño de algoritmos y la optimización. Se utilizan lenguajes como Python, Java y C++ para practicar patrones de diseño, pruebas unitarias y refactorización. La calidad del software se aborda con métricas, integración continua y análisis estático, fomentando hábitos de trabajo reproducibles y trazables mediante control de versiones.

En el ámbito de sistemas, se exploran arquitectura de computadores, organización y ensamblador, junto con sistemas operativos y principios de concurrencia, sincronización y comunicación interprocesos. La asignatura de redes introduce los modelos OSI y TCP/IP, enrutamiento, servicios de nombres y protocolos seguros, con prácticas de configuración y monitorización. La ciberseguridad se trabaja desde la criptografía aplicada hasta el hardening de servicios, respuesta ante incidentes y gestión de vulnerabilidades.

La gestión de datos incluye modelado entidad–relación, normalización y diseño físico, así como SQL avanzado, transacciones, índices y optimización de consultas. Se comparan bases de datos relacionales con soluciones NoSQL (clave–valor, documentos, grafos) y se introduce el procesamiento distribuido con paradigmas como MapReduce y ecosistemas orientados a big data. La visualización y la gobernanza de datos se integran con principios de calidad, linaje y protección de la privacidad.

Una mención en inteligencia artificial y aprendizaje automático permite aplicar técnicas de clasificación, regresión y agrupamiento, junto con redes neuronales y aprendizaje profundo para visión y procesamiento del lenguaje. Se enfatizan las consideraciones éticas, la explicabilidad de modelos y la evaluación robusta. Además, se presentan prácticas de MLOps, empaquetado de modelos y despliegue en entornos de producción siguiendo pipelines reproducibles.

En ingeniería del software se practica el ciclo de vida completo: captura de requisitos, análisis, diseño, implementación, pruebas y mantenimiento. Se trabaja con metodologías ágiles como Scrum y Kanban, gestión de producto y priorización, y documentación viva con especificaciones ejecutables. Se usan contenedores y orquestadores para desarrollar microservicios, APIs y frontends, aplicando observabilidad y monitorización continua.

El componente de computación en la nube introduce los principales proveedores, modelos de servicio y diseño de arquitecturas resilientes, autoevaluando costes, rendimiento y huella de carbono. Se realizan proyectos con autenticación federada, almacenamiento seguro y automatización de infraestructura como código. Las buenas prácticas de DevOps se materializan en pipelines de CI/CD y gestión de configuración, con énfasis en pruebas automatizadas y despliegues progresivos.

Finalmente, el trabajo fin de grado integra competencias técnicas, trabajo en equipo, comunicación y responsabilidad profesional. Los proyectos suelen abordar problemas reales con datos abiertos, requisitos cambiantes y usuarios reales, promoviendo la reflexión ética y el aprendizaje autónomo. El perfil de egreso combina sólida base científica, criterio técnico y capacidad para liderar soluciones tecnológicas de impacto social y económico en contextos multidisciplinares.",526
2,Educación Primaria,"El grado en Educación Primaria prepara docentes capaces de diseñar, implementar y evaluar experiencias de aprendizaje significativas para niños de 6 a 12 años, atendiendo a la diversidad y al desarrollo integral. Abarca fundamentos de psicología evolutiva, sociología de la educación y didácticas específicas, integrando tecnologías digitales y metodologías activas que fomentan el pensamiento crítico, la creatividad y la cooperación. Se trabaja la competencia comunicativa, la educación emocional y la convivencia escolar.

La didáctica de las matemáticas prioriza la comprensión conceptual, el razonamiento y la resolución de problemas abiertos, utilizando manipulativos, juegos y contextos reales. La didáctica de la lengua se centra en el enfoque comunicativo, la lectura comprensiva, la escritura procesual y la oralidad, con atención a la diversidad lingüística y a las dificultades específicas de aprendizaje. Las ciencias experimentales se abordan desde la indagación y el pensamiento científico, promoviendo proyectos que conectan el aula con el entorno.

Se incorporan perspectivas de inclusión y equidad, con estrategias de diseño universal para el aprendizaje, apoyos multinivel y evaluación formativa. El alumnado aprende a detectar barreras, a planificar adaptaciones curriculares y a colaborar con equipos de orientación, familias y comunidad. La educación artística y motriz se integra para desarrollar expresión, coordinación, hábitos saludables y autoestima.

Las tecnologías educativas se conciben como herramientas para personalizar, crear contenidos y evaluar, promoviendo la ciudadanía digital responsable. Se exploran recursos interactivos, producción audiovisual, programación con fines didácticos y análisis de datos de aprendizaje para retroalimentación oportuna. La gamificación y el aprendizaje basado en proyectos facilitan la motivación y el trabajo interdisciplinar.

La formación práctica incluye observación, co-docencia y diseño de secuencias didácticas en centros escolares, con tutoría dual universidad–escuela. Se fomenta la reflexión sistemática, la investigación-acción y la documentación pedagógica para mejorar la práctica. Las rúbricas, portafolios y autoevaluaciones apoyan un enfoque de evaluación auténtica centrado en evidencias.

Se enfatiza la educación en valores, la cultura de paz y la sostenibilidad, incorporando temáticas de igualdad, inclusión, diversidad cultural y cuidado del medio ambiente. Las competencias clave del docente incluyen liderazgo pedagógico, gestión del aula, uso ético de la tecnología, colaboración y aprendizaje a lo largo de la vida. El trabajo fin de grado articula teoría y práctica mediante un proyecto de innovación educativa o una investigación aplicada con impacto en el contexto escolar.

El egresado está preparado para dinamizar comunidades de aprendizaje, coordinar ciclos, participar en equipos docentes y contribuir al desarrollo de planes de centro, garantizando una respuesta educativa de calidad y equitativa para todo el alumnado.",413
3,Psicología,"El grado en Psicología proporciona un marco sólido para comprender la conducta humana desde múltiples niveles de análisis: biológico, cognitivo, social y cultural. Inicia con fundamentos de metodología científica, estadística, psicometría y ética profesional, garantizando el uso responsable de pruebas y datos. La neurociencia ofrece una visión de la relación entre cerebro, emoción y cognición, con prácticas en laboratorio y análisis de señales fisiológicas cuando procede.

Las asignaturas de evaluación y diagnóstico enseñan construcción y validación de instrumentos, entrevistas clínicas y técnicas de observación, respetando principios de confidencialidad y consentimiento informado. En psicología clínica se estudian los principales trastornos, sus modelos explicativos y tratamientos basados en la evidencia, incluyendo terapias cognitivo-conductuales, de tercera generación y enfoques integrativos.

La psicología educativa aborda procesos de aprendizaje, motivación, autorregulación y convivencia, proponiendo estrategias de intervención en contextos escolares y familiares. En el área organizacional se exploran selección, formación, liderazgo y bienestar laboral, con herramientas para análisis de clima, prevención de riesgos psicosociales y gestión del cambio. La psicología social examina estereotipos, prejuicios, influencia y comportamiento prosocial, con aplicaciones en comunicación y salud pública.

La investigación se practica mediante proyectos con diseños experimentales y cuasi-experimentales, análisis cuantitativos y cualitativos, y revisión sistemática de literatura. Se cultiva el pensamiento crítico y la lectura científica, así como la competencia para traducir hallazgos en recomendaciones profesionales. Se promueven habilidades de comunicación empática, trabajo en equipo interdisciplinar y autocuidado del profesional.

Las prácticas externas sitúan al alumnado en centros de salud, entidades educativas, organizaciones o servicios comunitarios, favoreciendo el aprendizaje situado y la supervisión. El trabajo fin de grado puede ser una investigación o una intervención aplicada, siempre con rigor ético.

El perfil de egreso combina sensibilidad humana, base científica y responsabilidad social, con competencias para la evaluación, el diseño de intervenciones y la mejora del bienestar psicológico en distintas poblaciones y contextos.",305
4,Enfermería,"Enfermería forma profesionales capaces de proporcionar cuidados integrales, seguros y centrados en la persona, desde la promoción de la salud hasta la atención a procesos agudos y crónicos. El plan se apoya en ciencias básicas, farmacología, fisiopatología y métodos de valoración, y desarrolla habilidades clínicas en simulación de alta fidelidad y entornos reales. Se trabajan protocolos basados en guías y la toma de decisiones compartida con pacientes y familias.

La comunicación terapéutica y la educación para la salud son ejes transversales, incorporando estrategias de alfabetización en salud y apoyo al autocuidado. Se enfatiza la seguridad del paciente, el control de infecciones, la gestión del dolor y la prevención de eventos adversos. Las prácticas abarcan atención primaria, hospitalaria y comunitaria, rotando por diferentes servicios y niveles de complejidad.

La enfermería basada en la evidencia capacita para formular preguntas clínicas, buscar y valorar literatura, y aplicar recomendaciones con criterios de calidad. Se abordan cuidados paliativos, salud mental, urgencias y emergencias, liderazgo clínico y gestión de equipos. La documentación, el registro y la continuidad asistencial se trabajan con historia clínica electrónica y estándares de interoperabilidad.

La ética profesional, el respeto a la dignidad y los derechos de los pacientes guían la práctica. La investigación y la mejora continua permiten identificar problemas, medir resultados y sostener innovaciones. Al egresar, el profesional está preparado para integrar equipos interdisciplinares, ejercer con autonomía y contribuir a sistemas de salud más humanos, eficientes y equitativos.",237
5,Economía,"El grado en Economía ofrece herramientas para comprender y analizar cómo las sociedades asignan recursos escasos, integrando teoría, datos y políticas públicas. Se estudian microeconomía, macroeconomía y econometría, conectando modelos con evidencia empírica y casos reales. La formación cuantitativa incluye cálculo, álgebra y estadística, aplicados al análisis de mercados, crecimiento, ciclos y desigualdad.

La econometría dota de competencias para especificar, estimar y contrastar modelos, evaluando supuestos y sesgos. Se utilizan paquetes estadísticos y programación para trabajar con datos reales y reproducir resultados. Se desarrolla sentido crítico para distinguir correlación y causalidad, y se introducen técnicas de evaluación de impacto y experimentos naturales.

Se abordan economía laboral, industrial, internacional y del sector público, discutiendo regulación, competencia, comercio y sistemas fiscales. La economía del comportamiento incorpora psicología al análisis de decisiones y políticas. La sostenibilidad y la transición ecológica se tratan desde la economía ambiental y la valoración de externalidades.

El grado fomenta habilidades de comunicación, visualización de datos y narrativa económica, preparando para roles en análisis, consultoría y gestión. El trabajo fin de grado puede consistir en un estudio empírico o un diseño de política, con énfasis en transparencia, ética y replicabilidad.",191
6,Historia del Arte,"Historia del Arte propone un recorrido crítico por las manifestaciones artísticas desde la Antigüedad hasta la contemporaneidad, integrando contexto histórico, análisis formal e interpretación cultural. Se estudian estilos, técnicas y materiales, así como los agentes del mundo del arte: artistas, comitentes, instituciones y públicos. El alumnado aprende a observar, describir, comparar y argumentar con rigor.

Las metodologías incluyen visitas a museos, trabajo con catálogos y archivos, y uso de herramientas digitales para documentación, curaduría y difusión. Se analizan discursos, políticas culturales y mercados, junto con debates sobre patrimonio, conservación y acceso. La perspectiva de género, poscolonial y de diversidad amplía la mirada crítica y la interpretación del canon.

Las prácticas pueden desarrollarse en instituciones culturales, galerías o proyectos de mediación, aplicando habilidades de gestión y comunicación. El trabajo fin de grado articula investigación y práctica curatorial, promoviendo la conexión entre arte, sociedad y ciudadanía.",144
7,Biología,"El grado en Biología explora la vida desde sus componentes moleculares hasta los ecosistemas, proporcionando una visión integrada de procesos, diversidad y evolución. Se estudian genética, bioquímica, fisiología, ecología y biología celular, con prácticas de laboratorio y trabajo de campo. La bioinformática y el análisis de datos se introducen para manejar secuencias, variantes y grandes volúmenes de información biológica.

La conservación de la biodiversidad y la gestión de recursos naturales se trabajan con estudios de impacto, monitoreo y restauración. En biotecnología se exploran técnicas de cultivo celular, clonación, expresión de proteínas y aplicaciones industriales y médicas. Se discuten riesgos, ética y marcos regulatorios, fomentando una práctica responsable y segura.

El trabajo fin de grado suele implicar un proyecto experimental o una revisión sistemática, integrando diseño, análisis e interpretación de resultados. El egreso capacita para contribuir en investigación, salud, gestión ambiental y educación científica, con pensamiento crítico y rigurosidad metodológica.",149
8,Derecho,"Derecho proporciona conocimientos sistemáticos del ordenamiento jurídico y habilidades para interpretar, argumentar y aplicar normas con equidad y seguridad. El plan abarca derecho constitucional, civil, penal, administrativo, mercantil y laboral, así como nociones de derecho internacional y de la Unión Europea. Se desarrollan competencias de redacción jurídica, oratoria, negociación y ética profesional.

Se trabajan casos prácticos, análisis de jurisprudencia y simulaciones de juicio, con énfasis en garantías procesales y derechos fundamentales. La clínica jurídica permite atender situaciones reales con supervisión, promoviendo responsabilidad social y acceso a la justicia. La transformación digital del sector se aborda con documentación inteligente, firma electrónica y protección de datos.

El trabajo fin de grado integra investigación doctrinal y aplicación práctica, preparando para itinerarios de ejercicio profesional, consultoría y función pública, con compromiso con el estado de derecho y la justicia.",135
9,Periodismo,"El grado en Periodismo forma profesionales capaces de investigar, contrastar y narrar hechos de interés público con rigor, independencia y responsabilidad. Se trabaja la producción informativa para prensa, radio, televisión y medios digitales, incorporando verificación, visualización y narrativas transmedia. La ética periodística, el derecho a la información y la deontología guían la práctica.

Las asignaturas de técnicas de investigación incluyen uso de fuentes, solicitudes de información pública, análisis de datos y entrevistas en profundidad. Se practican redacciones universitarias, coberturas en tiempo real y proyectos de reportaje con enfoque de servicio público. La audiencia y la analítica digital se utilizan para comprender hábitos de consumo y mejorar la relevancia del contenido.

Se exploran herramientas multimedia, edición, podcasting y producción audiovisual, junto con estrategias de distribución en plataformas. La alfabetización mediática y la lucha contra la desinformación se trabajan con metodologías activas y estándares abiertos. El TFG puede ser una investigación periodística o una propuesta editorial, con transparencia metodológica y enfoque en impacto social.",162
10,Matemáticas,"El grado en Matemáticas desarrolla pensamiento abstracto, rigor lógico y capacidad para modelizar fenómenos en ciencias, ingeniería y economía. Se estudian álgebra, análisis, geometría y probabilidad, progresando desde fundamentos a contenidos avanzados. La programación apoya la resolución de problemas, la experimentación numérica y la visualización, integrando técnicas de optimización y estadística aplicada.

Se entrenan demostraciones, conjeturas y contraejemplos, junto con lectura y escritura matemática clara. La modelización traduce problemas reales en términos matemáticos, analiza supuestos y valida soluciones. Se abordan ecuaciones diferenciales, series temporales y procesos estocásticos, con aplicaciones en finanzas, física y biología.

El trabajo fin de grado puede orientarse a investigación teórica, aplicaciones industriales o docencia, destacando la comunicación de ideas complejas con precisión y creatividad. El perfil de egreso combina solidez conceptual con versatilidad para colaborar en equipos multidisciplinares y afrontar retos cuantitativos exigentes.",137
