id,grado,resumen
1,Ingeniería Informática,"Este grado ofrece formación integral en diseño, desarrollo y mantenimiento de sistemas de software y hardware. Los estudiantes aprenden a analizar problemas, proponer arquitecturas y comunicar soluciones tecnológicas. Se abordan temas como ciberseguridad, gestión de datos, inteligencia artificial y aprendizaje automático, así como ingeniería del software y computación en la nube. Los proyectos finales integran competencias técnicas con trabajo en equipo y comunicación."
2,Educación Primaria,"El grado en Educación Primaria forma a docentes que diseñan experiencias de aprendizaje significativas para niños de 6 a 12 años, atendiendo a la diversidad y desarrollo integral. Se integran tecnologías digitales y metodologías activas para fomentar el pensamiento crítico, la creatividad y la cooperación. Los egresados están preparados para dinamizar comunidades de aprendizaje y garantizar una respuesta educativa de calidad y equitativa."
3,Psicología,"El grado en Psicología ofrece una formación integral que combina conocimientos científicos con habilidades prácticas para comprender la conducta humana. Se abordan áreas como psicología clínica, educativa y social, así como la neurociencia y la investigación. El perfil de egreso busca equilibrar sensibilidad humana, base científica y responsabilidad social."
4,Enfermería,"La enfermería forma profesionales que brindan cuidados integrales y centrados en la persona. El plan se apoya en ciencias básicas y desarrolla habilidades clínicas a través de simulaciones y entornos reales. Se enfatiza la seguridad del paciente, la comunicación terapéutica y la educación para la salud. Los graduados están preparados para integrar equipos interdisciplinares y contribuir a sistemas de salud más humanos y eficientes."
5,Economía,"El grado en Economía ofrece herramientas para comprender y analizar cómo las sociedades asignan recursos escasos. Se estudian microeconomía, macroeconomía y econometría, conectando modelos con evidencia empírica y casos reales. El grado fomenta habilidades de comunicación, visualización de datos y narrativa económica."
6,Historia del Arte,"Historia del Arte es un recorrido crítico por las manifestaciones artísticas desde la Antigüedad hasta la contemporaneidad. Se estudian estilos, técnicas y materiales, así como los agentes del mundo del arte. El alumnado aprende a observar, describir y argumentar con rigor, y desarrolla habilidades de gestión y comunicación."
7,Biología,"El grado en Biología estudia la vida desde sus componentes moleculares hasta los ecosistemas. Se abordan temas como genética, bioquímica, ecología y biotecnología, con prácticas de laboratorio y trabajo de campo. El egreso capacita para contribuir en investigación, salud y gestión ambiental."
8,Derecho,"El plan de estudios de Derecho ofrece conocimientos sistemáticos del ordenamiento jurídico y habilidades para interpretar y aplicar normas con equidad y seguridad. Se cubren áreas como derecho constitucional, civil, penal, administrativo, mercantil y laboral, así como nociones de derecho internacional y europeo. El plan incluye competencias en redacción jurídica, oratoria, negociación y ética profesional, y se enfoca en garantías procesales y derechos fundamentales."
9,Periodismo,"El grado de Periodismo forma profesionales que investigan, contrastan y narran hechos públicos con rigor e independencia. Se trabaja la producción informativa para prensa, radio, televisión y medios digitales, incorporando verificación y narrativas transmedia. El TFG puede ser una investigación periodística o propuesta editorial con enfoque en impacto social."
10,Matemáticas,"El grado en Matemáticas desarrolla pensamiento abstracto, rigor lógico y capacidad para modelizar fenómenos. Se estudian álgebra, análisis, geometría y probabilidad, con aplicaciones en ciencias, ingeniería y economía."
