id,nombre,resumen_salidas
1,Antropologia Social y Cultural,"Graduados en diversidad cultural, patrimonio etnológico, desarrollo territorial y cooperación internacional. Funciones relacionadas con docencia, investigación, mediación intercultural, participación ciudadana, planificación territorial y diseño de políticas públicas."
2,Antropologia Social y Cultural,"Graduados en diversidad cultural, patrimonio etnológico, desarrollo territorial y cooperación internacional. Funciones: docencia, investigación, mediación intercultural, planificación territorial, gestión de Parques Naturales, educación secundaria, coordinación de proyectos ONGs, asesoramiento igualdad de oportunidades, consultoría medios de comunicación."
3,Bellas Artes,"Pintor, escultor, dibujante, fotógrafo, crítico e historiador de arte. Asesor de compras y guía cultural. Gestor de museos y galerías. Restaurador y decorador."
4,Conservacion y Restauracion del Patrimonio Cultural,"ConservadorRestaurador en instituciones públicas o privadas, empresas de conservación y restauración, docencia e investigación en patrimonio cultural. Desarrolla programas de conservación-restauración, asesora en exposiciones y transporte de obras, proporciona registros técnicos y elabora informes."
5,Artes Escenicas,"Profesionales con proyección multidisciplinar en teatro, cine, televisión, publicidad y educación. Capacitados para trabajar en ámbitos creativos y de liderazgo."
6,Artes Escenicas e Interpretacion Audiovisual,"Profesionales del arte escénico, incluyendo actores, directores, bailarines, cantantes y locutores que trabajan en teatro, cine, televisión y otros medios."
7,Efectos Visuales,"Profesionales del arte escénico y la cultura que trabajan en teatro, cine, TV, publicidad, radio y eventos."
8,Artes Visuales y Danza,"Crear espectáculos teatrales, campañas publicitarias, crítica especializada y escritura en Artes Escénicas y Visuales. Desarrollar proyectos culturales y gestión de tecnologías escénicas."
9,Cinematografia,"Los estudiantes aprenderán sobre los equipos de producción y dirección en la industria cinematográfica, incluyendo director, productor, guionista y editor. También se cubrirán roles como ayudante de producción, jefe de producción, director de casting, director de fotografía y otros."
10,Bachelor in Filmmaking,"El curso capacita a los participantes en cuatro áreas clave del cine: dirección, producción, guion y edición. También se cubren equipos específicos como producción, dirección, casting, fotografía, iluminación, sonido, arte, ambientación y construcción."
11,Fotografia y Creacion Audiovisual,"Fotógrafo, técnico digital, especialista en tratamiento de la imagen, director artístico y comisario de exposiciones."
12,Composicion Musical,"Composición de música para concierto, ballet, cine, radio, televisión, publicidad, web, videojuegos, interpretación musical, creación de arreglos, producción musical, edición musical y gestión de contenidos musicales."
13,Interpretacion de Musica Moderna,"Músicos con experiencia en Big Band, musicales, televisión y orquestas de música popular."
14,Diseno de Interiores,"Diseñador de interiores puede trabajar en varios sectores como interiorismo, hoteles, restaurantes, museos y edificios de oficinas. Necesitan calidad y diseño para mejorar el confort."
15,Bachelor in Interior Design,"Diseñador de interiores puede trabajar en varios sectores como interiorismo, hoteles, restaurantes, museos y edificios de oficinas. Necesitan calidad y diseño para mejorar el confort y la estética."
16,Diseno,"Titulados pueden trabajar en estudios de diseño, editoriales, empresas de comunicación y moda, agencias de publicidad, centros de enseñanza, productoras audiovisuales y empresas de desarrollo multimedia."
17,Gestion y Comunicacion de la Moda,"Diseño de moda, vestuario escénico, textil, piel, punto, ilustración, escaparatismo, marketing, eventos, gestión comercial."
18,Diseno Integral y Gestion de la Imagen,"Diseño Integral y Gestión de la Imagen. Ámbitos: interiores, gráfico, creación visual, producto, cultura."
19,Diseno Multimedia y Grafico,"Diseño editorial, gráfica publicitaria, diseño web y multimedia, publicidad, imagen corporativa, dibujo y animación, diseño CAD, diseño de producto, fotografía, iluminación y artes plásticas."
20,Diseno Grafico y Multimedia,"Diseño editorial, gráfica publicitaria, diseño web y multimedia, publicidad, imagen corporativa, diseño de producto, fotografía, dirección de arte creativo."
21,Diseno Audiovisual e Ilustracion,"Diseñador audiovisual que muestra marcas y productos a través de medios visuales, mezclando imagen real con animación. Salidas en audiovisual, fotografía, diseño, arte e ilustración."
22,Diseno de Videojuegos,"Diseñador de videojuegos, Desarrollador de software, Diseño gráfico, Producciones audiovisuales, Analista/Programador, Desarrollador web, Administrador de red y sistemas, Consultor tecnológico, Operador de red y comunicaciones, Auditor de calidad, Informático financiero y de gestión, Administrador de bases de datos, Robótica y control digital."
23,Diseno y Desarrollo de Videojuegos y Entornos Virtuales,"Diseño, desarrollo y análisis de videojuegos, software y aplicaciones. Desarrollo web, redes y sistemas."
24,Animacion,"Creación de imagen, efectos visuales, diseño y animación, guiones, edición y postproducción, dirección de arte y gestión de equipo."
25,Diseno Digital,"Diseñador gráfico interactivo que crea simuladores, entornos virtuales y contenido digital multiplataforma. Trabaja en arte conceptual, desarrollo de performances digitales y animación cinematográfica."
26,Arte Digital y Tecnologias creativas,"Egresados pueden ser artistas, diseñadores o programadores para videojuegos y animación, incluyendo roles como animador, iluminador, modelador y diseñador UX/UI."
27,Estudios Culturales,"Graduados en Estudios Culturales trabajan en cultura, turismo, cooperación internacional, comunicación y nuevas tecnologías."
28,"Estudios de Asia y Africa: Arabe, Chino y Japones","Preparación para profesiones en enseñanza, promoción lingüística y cultural relacionadas con el mundo árabe o Asia Oriental. Trabajos en comercio, economía, relaciones internacionales, medios de comunicación y turismo."
29,Estudios Semiticos e IslamicosArea de Estudios Semiticos e Islamicos Rama de conocimiento Artes y Humanidades,"Profesor universitario, investigación, traducción e interpretación, planificación lingüística, creación y mediación literaria e intercultural, industrias editoriales, acceso a la función pública y medios de comunicación."
30,Filosofia,"Graduado en filosofía puede ser docente, investigador, gestor cívico o asesor."
31,Ciencias de las Religiones,"Docencia, investigación en Ciencias de las Religiones, gestión cultural, literaria y administrativa, así como proyectos multidisciplinares en educación, ONGs y empresas de viajes religiosos."
32,Arqueologia,"Arqueología en España se divide en enseñanza/investigación, gestión y empresa. Salidas profesionales incluyen investigación arqueológica, patrimonio arqueológico, museología, enseñanza y empresas de evaluación ambiental."
33,Geografia e Historia,"Geografía - Docencia, medioambiente, ordenación del territorio, cartografía, sistemas de información geográfica, informes socioeconómicos y demográficos, administración pública (medio ambiente, sanidad, obras públicas, comercio y turismo)."
34,Historia,"Historia - Docencia, crítica literaria, gestión del patrimonio, asesoramiento cultural, investigación histórica, carrera diplomática."
35,Historia del Arte,"Prepara a los estudiantes para proteger y gestionar el patrimonio histórico-artístico-cultural en instituciones y empresas. Incluye conservación, exposición y mercado de arte, difusión del patrimonio artístico, investigación y enseñanza en historia del arte, y producción de contenidos."
36,Musicologia,"Graduados en música pueden trabajar en bibliotecas, editoriales, radio, TV, productoras audiovisuales, centros de enseñanza y gestión cultural."
37,Humanidades,"Educación, gestión cultural, editorial y medios de comunicación audiovisual."
38,"Ciencia, Tecnologia y Humanidades","Experto en difusión del conocimiento, gestor de proyectos científicos y coordinador de equipos interdisciplinares. Técnico responsable de políticas de innovación y desarrollo en instituciones públicas o privadas."
39,Espanol: Lengua y Literatura,"Profesores de Enseñanza Secundaria, profesores universitarios, investigación en Lengua y Literatura española, administración, diplomacia, turismo, edición y medios de comunicación."
40,Estudios Hispanicos,"Graduados en Estudios Hispánicos capacitados para actividades lingüísticas y culturales como mediación, planificación, asesoramiento, gestión y representación."
41,Estudios Hispanicos: Lengua Espanola y sus Literaturas,"Formación en docencia, asesoramiento lingüístico, industria editorial y traducción."
42,Lengua y Literatura Espanola,"Docencia, investigación, industria, editorial, gestión lingüística, medios de comunicación, administraciones públicas y mediación lingüística."
43,Estudios Clasicos y de la Antiguedad,"Graduados en Estudios Clásicos pueden trabajar en archivística, biblioteconomía, gestión cultural, docencia e investigación."
44,Filologia Clasica,"Docencia, traducción, interpretación, asesoramiento literario, corrección, documentación, asistencia a medios y publicidad, investigación en temas específicos e interdisciplinarios."
