id;nombre;id_area;descripcion;salidas
1;Antropologia Social y Cultural;1;Conoce y aprecia la diversidad de sociedades y culturas humanas, comprendiendo sus causas. Estudia comparativamente las sociedades humanas y desarrolla conocimiento en antropología social y cultural.;Graduados en diversidad cultural, patrimonio etnológico, desarrollo territorial y cooperación internacional. Funciones relacionadas con docencia, investigación, mediación intercultural, participación ciudadana, planificación territorial y diseño de políticas públicas.
2;Antropologia Social y Cultural;15;La titulación ofrece conocimiento sobre la diversidad de sociedades y culturas humanas, permitiendo explicar las causas de esta variedad. Se desarrolla el estudio comparado de sociedades humanas y se analiza la antropología social y cultural en relación con la diversidad cultural.;Graduados en diversidad cultural, patrimonio etnológico, desarrollo territorial y cooperación internacional. Funciones: docencia, investigación, mediación intercultural, planificación territorial, gestión de Parques Naturales, educación secundaria, coordinación de proyectos ONGs, asesoramiento igualdad de oportunidades, consultoría medios de comunicación.
3;Bellas Artes;2;El Grado en Bellas Artes forma artistas plásticos con una formación teórica y práctica en las artes visuales, enfocada en la creatividad y la innovación.;Pintor, escultor, dibujante, fotógrafo, crítico e historiador de arte. Asesor de compras y guía cultural. Gestor de museos y galerías. Restaurador y decorador.
4;Conservacion y Restauracion del Patrimonio Cultural;2;El Grado en Conservación y Restauración del Patrimonio Cultural forma a conservadores restauradores para preservar y transmitir el patrimonio cultural, asegurando su uso actual y respetando su significado social y espiritual. La profesión debe ser regulada y reconocida para garantizar intervenciones de calidad.;ConservadorRestaurador en instituciones públicas o privadas, empresas de conservación y restauración, docencia e investigación en patrimonio cultural. Desarrolla programas de conservación-restauración, asesora en exposiciones y transporte de obras, proporciona registros técnicos y elabora informes.
5;Artes Escenicas;2;El Grado en Artes Escénicas capacita a jóvenes en actores, guionistas y directores escénicos para el sector del teatro, cine y televisión.;Profesionales con proyección multidisciplinar en teatro, cine, televisión, publicidad y educación. Capacitados para trabajar en ámbitos creativos y de liderazgo.
6;Artes Escenicas e Interpretacion Audiovisual;2;Este grado busca formar actores versátiles con sólida base dramática, desde el verso a la danza y el canto clásico y contemporáneo. Incluye técnicas de interpretación en cine y televisión, formación académica teórica y cultural, y perspectiva empresarial emprendedora.;Profesionales del arte escénico, incluyendo actores, directores, bailarines, cantantes y locutores que trabajan en teatro, cine, televisión y otros medios.
7;Efectos Visuales;2;Este grado busca formar actores con sólida base dramática, habilidades en canto, danza y interpretación gestual, así como una formación académica teórica y cultural. Se enfoca en desarrollar el potencial intelectual de los alumnos para analizar e interpretar textos dramáticos y llevarlos a la escena de manera creativa.;Profesionales del arte escénico y la cultura que trabajan en teatro, cine, TV, publicidad, radio y eventos.
8;Artes Visuales y Danza;2;La danza se estudia dentro del contexto de las artes visuales, considerando su preparación física y mental. Se abordan diferentes manifestaciones de la danza, desde la clásica hasta la contemporánea española, así como aspectos como iluminación, sonido y diseño de vestuario. También se analiza la difusión de la danza en el mercado global y sus requerimientos comerciales.;Crear espectáculos teatrales, campañas publicitarias, crítica especializada y escritura en Artes Escénicas y Visuales. Desarrollar proyectos culturales y gestión de tecnologías escénicas.
9;Cinematografia;2;Graduados en Cine capaces de tomar decisiones, asumir riesgos y impulsar cambios en la creación de contenido audiovisual. Preparados para trabajar en diversas áreas del producto audiovisual, con habilidades en imagen, sonido, fotografía, montaje y postproducción.;Los estudiantes aprenderán sobre los equipos de producción y dirección en la industria cinematográfica, incluyendo director, productor, guionista y editor. También se cubrirán roles como ayudante de producción, jefe de producción, director de casting, director de fotografía y otros.
10;Bachelor in Filmmaking;2;Los graduados en Cine serán capaces de tomar decisiones, asumir riesgos y impulsar cambios en el desempeño profesional en la creación de nuevos espacios y contenidos audiovisuales. Deben tener interés por la imagen, sonido, fotografía, montaje, realización y postproducción.;El curso capacita a los participantes en cuatro áreas clave del cine: dirección, producción, guion y edición. También se cubren equipos específicos como producción, dirección, casting, fotografía, iluminación, sonido, arte, ambientación y construcción.
11;Fotografia y Creacion Audiovisual;2;El Grado en Fotografía y Creación Audiovisual ofrece una formación integral en fotografía, arte visual y multimedia. Los estudiantes adquieren habilidades técnicas, artísticas y empresariales para trabajar en la industria de las Artes Visuales y el ámbito multimedia.;Fotógrafo, técnico digital, especialista en tratamiento de la imagen, director artístico y comisario de exposiciones.
12;Composicion Musical;2;El Grado en Composición Musical forma compositores altamente cualificados para crear música en todos los géneros y estilos, integrando tecnologías y audiovisuales. Los estudiantes adquirirán conocimientos y experiencia práctica para afrontar la composición musical en diferentes géneros y estilos, cuidando las facetas artística, creativa y técnica. También conocerán recursos tecnológicos y empresariales vanguardistas para potenciar su versatilidad y capacidad de innovación.;Composición de música para concierto, ballet, cine, radio, televisión, publicidad, web, videojuegos, interpretación musical, creación de arreglos, producción musical, edición musical y gestión de contenidos musicales.
13;Interpretacion de Musica Moderna;2;El Grado en Interpretación de Música Moderna forma intérpretes para el mundo de la música moderna, con un plan de estudios que abarca lenguajes y estilos como flamenco y jazz.;Músicos con experiencia en Big Band, musicales, televisión y orquestas de música popular.
14;Diseno de Interiores;3;La titulación permite a los alumnos desarrollar su actividad profesional en ámbitos variados. Se forman con conocimientos de diseño digital, gráfico e industrial y adquieren habilidades artísticas, humanísticas y técnicas para crear espacios habitables. Deben ser capaces de resolver problemas de interiores y paisaje de manera integral, creativa y ética.;Diseñador de interiores puede trabajar en varios sectores como interiorismo, hoteles, restaurantes, museos y edificios de oficinas. Necesitan calidad y diseño para mejorar el confort.
15;Bachelor in Interior Design;3;La titulación forma a los alumnos para desarrollar su actividad profesional en diversas áreas, con un perfil multidisciplinar. Deben poseer conocimientos básicos de diseño digital y gráfico, así como artísticos, humanísticos y técnicos. El objetivo es crear espacios habitados adecuados a las necesidades de la sociedad, resolviendo problemas creativa y éticamente.;Diseñador de interiores puede trabajar en varios sectores como interiorismo, hoteles, restaurantes, museos y edificios de oficinas. Necesitan calidad y diseño para mejorar el confort y la estética.
16;Diseno;3;El Grado en Diseño combina teoría y práctica con otras disciplinas como Arte, Arquitectura y Comunicación. Ofrece cuatro menciones: Diseño gráfico, Interiores, Producto y Moda.;Titulados pueden trabajar en estudios de diseño, editoriales, empresas de comunicación y moda, agencias de publicidad, centros de enseñanza, productoras audiovisuales y empresas de desarrollo multimedia.
17;Gestion y Comunicacion de la Moda;3;El Grado en Diseño de moda combina formación técnica con conocimientos transversales como creatividad, estética e historia del arte para preparar a los estudiantes para el mercado laboral.;Diseño de moda, vestuario escénico, textil, piel, punto, ilustración, escaparatismo, marketing, eventos, gestión comercial.
18;Diseno Integral y Gestion de la Imagen;3;Formar profesionales del diseño comprometidos con las necesidades de usuarios y sociedad. Capaces de diseñar productos gráficos, objetos funcionales y espacios en todos los aspectos del proceso.;Diseño Integral y Gestión de la Imagen. Ámbitos: interiores, gráfico, creación visual, producto, cultura.
19;Diseno Multimedia y Grafico;3;La carrera de Diseño Multimedia y Gráfico es consolidada y reconocida. Ofrece una formación multidisciplinar con enfoque técnico y práctico, preparando a los estudiantes para áreas como diseño gráfico y multimedia.;Diseño editorial, gráfica publicitaria, diseño web y multimedia, publicidad, imagen corporativa, dibujo y animación, diseño CAD, diseño de producto, fotografía, iluminación y artes plásticas.
20;Diseno Grafico y Multimedia;3;La carrera de Diseño Multimedia y Gráfico ofrece una preparación multidisciplinar con un enfoque técnico y práctico. Combina habilidades técnicas con conocimientos transversales como creatividad, estética e historia del arte.;Diseño editorial, gráfica publicitaria, diseño web y multimedia, publicidad, imagen corporativa, diseño de producto, fotografía, dirección de arte creativo.
21;Diseno Audiovisual e Ilustracion;3;El Grado en Diseño Audiovisual e Ilustración forma ilustradores y diseñadores audiovisuales autosuficientes que pueden trabajar en áreas como comunicación, gráfica y publicitaria. Los estudiantes aprenderán a crear productos y contenidos integrales utilizando herramientas como Photoshop, Illustrator y Adobe Premiere.;Diseñador audiovisual que muestra marcas y productos a través de medios visuales, mezclando imagen real con animación. Salidas en audiovisual, fotografía, diseño, arte e ilustración.
