id;nombre;tipo
1;Universidad Nacional de Educación a Distancia UNED;Pública
2;Universidad Antonio de Nebrija;Privada
3;Universidad Complutense de Madrid;Pública
4;Universidad Francisco de Vitoria;Privada
5;Universidad Rey Juan Carlos;Pública
6;Universidad Alfonso X El Sabio;Privada
7;Universidad San PabloCEU;Privada
8;Universidad Europea de Madrid;Privada
9;Universidad Carlos III de Madrid;Pública
10;Universidad Autónoma de Madrid;Pública
11;Universidad Pontificia Comillas ICAIICADE;Privada
12;Universidad de Alcalá;Pública
13;Universidad a Distancia de Madrid UDIMA;Privada
14;Universidad Politécnica de Madrid;Pública
15;Universidad Camilo José Cela;Privada
16;Universidad Internacional de la EmpresaUNIE;Privada
17;Universidad Internacional Villanueva;Privada
