id;id_grado_ofertado;año;convocatoria;grupo;nota
1;7;2025;ordinaria;1;12.964
2;8;2025;ordinaria;1;12.513
3;254;2025;ordinaria;1;12.489
4;452;2025;ordinaria;1;12.461
5;191;2025;ordinaria;1;12.433
6;443;2025;ordinaria;1;12.363
7;446;2025;ordinaria;1;12.339
8;292;2025;ordinaria;1;12.329
9;390;2025;ordinaria;1;12.314
10;190;2025;ordinaria;1;12.267
11;66;2025;ordinaria;1;12.264
12;487;2025;ordinaria;1;12.139
13;278;2025;ordinaria;1;12.014
14;25;2025;ordinaria;1;11.685
15;26;2025;ordinaria;1;11.685
16;17;2025;ordinaria;1;11.65
17;489;2025;ordinaria;1;11.507
18;442;2025;ordinaria;1;11.478
19;256;2025;ordinaria;1;11.287
20;479;2025;ordinaria;1;11.128
21;322;2025;ordinaria;1;11.103
22;323;2025;ordinaria;1;11.103
23;483;2025;ordinaria;1;11.102
24;457;2025;ordinaria;1;11.0
25;283;2025;ordinaria;1;10.937
26;208;2025;ordinaria;1;10.928
27;247;2025;ordinaria;1;10.928
28;126;2025;ordinaria;1;10.87
29;317;2025;ordinaria;1;10.825
30;482;2025;ordinaria;1;10.803
31;253;2025;ordinaria;1;10.714
32;156;2025;ordinaria;1;10.625
33;155;2025;ordinaria;1;10.625
34;472;2025;ordinaria;1;10.478
35;453;2025;ordinaria;1;10.45
36;321;2025;ordinaria;1;10.439
37;288;2025;ordinaria;1;10.364
38;131;2025;ordinaria;1;10.185
39;422;2025;ordinaria;1;10.148
40;451;2025;ordinaria;1;10.053
41;15;2025;ordinaria;1;9.936
42;257;2025;ordinaria;1;9.903
43;481;2025;ordinaria;1;9.849
44;286;2025;ordinaria;2;9.63
45;16;2025;ordinaria;1;9.6
46;251;2025;ordinaria;1;9.545
47;286;2025;ordinaria;1;9.544
48;476;2025;ordinaria;1;9.408
49;479;2025;ordinaria;2;9.39
50;255;2025;ordinaria;1;9.389
51;446;2025;ordinaria;2;9.38
52;191;2025;ordinaria;2;9.33
53;390;2025;ordinaria;2;9.33
54;15;2025;ordinaria;2;9.29
55;293;2025;ordinaria;1;9.138
56;290;2025;ordinaria;1;9.115
57;189;2025;ordinaria;1;9.025
58;487;2025;ordinaria;2;8.98
